stdno,allowedunits,currentunitsenlisted
2009-14523,15,15
2012-98085,15,0
2012-67188,15,14
2013-34276,15,12
2009-07378,15,9
2010-97084,15,9
2013-06254,15,15
2008-37443,15,10
2013-70028,15,15
2013-98425,15,0
2010-49031,15,14
2011-53622,15,14
2011-21067,15,15
2011-24341,15,12
2012-63801,15,14
2012-59088,15,14
2011-02992,15,15
2011-48629,15,15
2009-12061,15,14
2012-37810,15,15
2011-20708,15,15
2012-97934,15,12
2012-48268,15,15
2012-52783,15,0
2012-41130,15,0
2012-26607,15,14
2012-63544,15,15
2012-15035,15,15
2013-06969,15,13
2012-47161,15,14
2014-98880,15,13
2013-66774,15,13
2012-29108,15,14
2012-38627,15,14
2012-18797,15,11
2009-07384,15,14
2010-57112,15,6
2013-09073,15,14
2012-38640,15,3
2009-60875,15,14
2008-60086,15,15
2014-04115,15,14
2012-37271,15,15
2012-18948,15,15
2009-32497,15,9
2010-62608,15,15
2006-95697,15,3
2013-55297,15,15
2011-11655,15,14
2012-59450,15,14
2011-29265,15,15
2011-61370,15,15
2007-16429,15,8
2014-98886,15,14
2011-45451,15,12
2010-30532,15,15
2014-98889,15,14
2010-31093,15,12
2014-70954,15,14
2014-57280,15,15
2012-44885,15,14
2013-61785,15,15
2012-06357,15,13
2008-58120,15,15
2009-31858,15,10
2006-14291,15,13
2008-18863,15,6
2011-46488,15,13
2012-53202,15,15
2012-07375,15,13
2011-48441,15,15
2009-15414,15,15
2014-98893,15,14
2010-45409,15,14
2011-04974,15,15
2010-18277,15,9
2013-70092,15,13
2008-47023,15,15
2014-98896,15,14
2014-72670,15,15
2011-47703,15,13
2010-59962,15,15
2012-97785,15,0
2011-49064,15,15
2013-06206,15,15
2013-06760,15,15
2013-68078,15,14
2010-41499,15,15
2013-98240,15,14
2012-15852,15,15
2011-47217,15,14
2012-35002,15,15
2013-06149,15,11
2013-08507,15,14
2008-09962,15,15
2012-11545,15,13
2011-25452,15,15
2011-52480,15,15
2013-42261,15,13
2012-46513,15,12
2010-19836,15,15
2007-65910,15,15
2013-08332,15,0
2012-60403,15,14
2011-10187,15,15
2011-44472,15,17
2011-52081,15,13
2012-47293,15,14
2009-60206,15,9
2010-07153,15,15
2011-09245,15,14
2011-22177,15,14
2009-55213,15,15
2009-04522,15,9
2010-18278,15,15
2014-98805,15,15
2011-62590,15,8
2011-32523,15,15
2011-18513,15,15
2011-62147,15,15
2013-08172,15,15
2011-16905,15,7
2010-35150,15,6
2010-97033,15,15
2010-31798,15,13
2009-53084,15,15
2009-63563,15,15
2013-41621,15,14
2012-45109,15,13
2011-62124,15,5
2009-24793,15,14
2010-41737,15,15
2012-10075,15,15
2009-42897,15,14
2011-25092,15,14
2009-21686,15,8
2011-16279,15,6
2007-14781,15,14
2011-15827,15,12
2013-98382,15,15
2013-40829,15,14
2014-98726,15,14
2012-37979,15,15
2012-10814,15,13
2011-01394,15,12
2013-39715,15,14
2011-35750,15,8
2013-08290,15,12
2009-40896,15,12
2013-05447,15,14
2010-50437,15,15
2013-08738,15,15
2013-36660,15,15
2012-19817,15,12
2011-46251,15,14
2011-16983,15,11
2010-68723,15,11
2012-19067,15,13
2012-10077,15,12
2012-19260,15,14
2012-47298,15,14
2011-15147,15,15
2012-19220,15,15
2010-13126,15,15
2014-28142,15,14
2009-61128,15,13
2014-98904,15,10
2009-96589,15,8
2013-06543,15,12
2013-03572,15,9
2011-40011,15,14
2013-48710,15,15
2012-29252,15,14
2004-62303,15,9
2013-04394,15,15
2012-21023,15,12
2014-98846,15,14
2013-08192,15,15
2012-19407,15,15
2011-01249,15,15
2013-10250,15,14
2011-21414,15,9
2009-57349,15,14
2010-32407,15,12
2014-98905,15,13
2011-20160,15,11
2009-16016,15,15
2012-14485,15,14
2009-96562,15,13
2009-37556,15,14
2011-63026,15,15
2013-50806,15,14
2013-03825,15,13
2013-27780,15,15
2011-20600,15,7
2009-35035,15,12
2014-09702,15,15
2012-37827,15,14
2012-16422,15,15
2014-80514,15,14
2012-13419,15,12
2011-42925,15,15
2010-41323,15,15
2012-31334,15,15
2012-57605,15,14
2010-97200,15,14
2010-21839,15,14
2011-62635,15,15
2014-98909,15,14
2013-40681,15,15
2012-25200,15,15
2014-27644,15,15
2010-43758,15,6
2010-39101,15,15
2012-25201,15,12
2012-28040,15,13
2011-09952,15,15
2012-28538,15,14
2012-97840,15,10
2008-10034,15,9
2008-32767,15,12
2010-53508,15,15
2014-63963,15,15
2011-65120,15,9
2012-12739,15,14
2012-24843,15,15
2013-09737,15,14
2011-21787,15,12
2011-31772,15,3
2013-06553,15,15
2011-11428,15,12
2010-00228,15,6
2012-04384,15,14
2013-51017,15,13
2012-28901,15,6
2012-47863,15,15
2011-62190,15,12
2012-31052,15,15
2011-09278,15,13
2013-58172,15,14
2013-07301,15,15
2013-48318,15,13
2012-19272,15,13
2011-35776,15,12
2010-51596,15,13
2013-67935,15,15
2011-19516,15,15
2014-28189,15,14
2011-22195,15,14
2012-09293,15,14
2012-20854,15,15
2011-21525,15,12
2008-17576,15,12
2010-97201,15,14
2009-46635,15,10
2013-67100,15,15
