stdno,schoolyear,term,course,section,units,grade,courserank,contrib
6290-78414,2015,FIRST,STAT 145,V-1R,3,____,0,0.0000,
0865-17292,2015,FIRST,DEVC 122,G,3,____,2,1.0000,
0865-17292,2015,FIRST,DEVC 140,AB-1L,3,____,6,1.0000,
0865-17292,2015,FIRST,HUM 2(AH),X1-1R,3,____,7,1.0000,
2260-51974,2015,FIRST,FRM 184,T-1L,3,____,6,1.0000,
7681-95529,2015,FIRST,CRSC 1,U-3L,3,____,6,1.0000,
7681-95529,2015,FIRST,DEVC 120,ST-1L,3,____,7,1.0000,
4549-21602,2015,FIRST,ABM 103,X,3,____,1,1.0000,
0728-30526,2015,FIRST,CE 133,AB-1C,3,____,1,1.0000,
0728-30526,2015,FIRST,CE 171,V,3,____,2,1.0000,
6151-50211,2015,FIRST,EE 170,D,3,____,2,1.0000,
2951-62924,2015,FIRST,ENSC 16,W,3,____,3,1.0000,
5844-90211,2015,FIRST,MCB 180,B-3L,3,____,4,1.0000,
5844-90211,2015,FIRST,AGRI 199,Y2,1,____,6,1.0000,
0335-63331,2015,FIRST,SOIL 111,B-1L,3,____,1,1.0000,
0335-63331,2015,FIRST,AGRI 199,Y2,1,____,4,1.0000,
5292-31329,2015,FIRST,VETC 171,1L,2,____,4,1.0000,
4346-62913,2015,FIRST,EE 126,F-1L,3,____,1,1.0000,
4346-62913,2015,FIRST,EE 151,W,3,____,3,1.0000,
4370-74253,2015,FIRST,EE 126,F-1L,3,____,1,1.0000,
4370-74253,2015,FIRST,EE 171,C,3,____,2,1.0000,
4370-74253,2015,FIRST,EE 151,W,3,____,4,1.0000,
0281-54753,2015,FIRST,MCB 198,AR,3,____,1,1.0000,
0281-54753,2015,FIRST,MCB 103,T,3,____,2,1.0000,
2829-05443,2015,FIRST,EE 151,W,3,____,0,0.0000,
2829-05443,2015,FIRST,EE 126,E-1L,3,____,0,0.0000,
2745-37879,2015,FIRST,FST 198,AR,3,____,4,1.0000,
2745-37879,2015,FIRST,AGRI 199,Y2,1,____,5,1.0000,
4717-06292,2015,FIRST,FST 198,AR,3,____,2,1.0000,
4717-06292,2015,FIRST,FST 170,ST,3,____,3,1.0000,
9185-78621,2015,FIRST,PHYS 121,X,3,____,1,1.0000,
9185-78621,2015,FIRST,PHYS 112,W,3,____,2,1.0000,
8909-82083,2015,FIRST,VETC 171,1L,2,____,1,1.0000,
8909-82083,2015,FIRST,VMED 151,S,2,____,2,1.0000,
8909-82083,2015,FIRST,VPTH 123,X-1L,3,____,4,1.0000,
6721-77366,2015,FIRST,EE 126,F-2L,3,____,1,1.0000,
6721-77366,2015,FIRST,EE 158,ST-2L,3,____,2,1.0000,
3830-01798,2015,FIRST,MATH 181,E,3,____,1,1.0000,
3830-01798,2015,FIRST,MATH 174,B-4L,3,____,2,1.0000,
3002-01535,2015,FIRST,HFDS 43,D-1L,3,____,2,1.0000,
1520-19255,2015,FIRST,NASC 7(MST),U,3,____,0,0.0000,
2642-22216,2015,FIRST,EE 21,D-1L,4,____,1,1.0000,
4737-85752,2015,FIRST,POSC 165,D,3,____,3,1.0000,
4737-85752,2015,FIRST,BIO 2,W-2L,3,____,0,0.0000,
8153-27481,2015,FIRST,ABM 180,T,3,____,1,1.0000,
8153-27481,2015,FIRST,ABM 103,X,3,____,3,1.0000,
8153-27481,2015,FIRST,MGT 115,F,3,____,4,1.0000,
5904-95097,2015,FIRST,ENG 101,E,3,____,6,1.0000,
5904-95097,2015,FIRST,SPCM 105,V,3,____,0,0.0000,
6631-47947,2015,FIRST,VETC 173,WX,1,____,2,1.0000,
6631-47947,2015,FIRST,VETC 175,1L,6,____,3,1.0000,
6719-35342,2015,FIRST,EE 158,ST-2L,3,____,1,1.0000,
6719-35342,2015,FIRST,EE 181,YZ-2L,3,____,3,1.0000,
4154-05241,2015,FIRST,CMSC 141,D-6L,3,____,3,1.0000,
4154-05241,2015,FIRST,CMSC 137,CD-3L,3,____,4,1.0000,
4154-05241,2015,FIRST,MATH 28,T-1R,3,____,6,1.0000,
6571-48647,2015,FIRST,HNF 42,S-1L,4,____,1,1.0000,
2029-72785,2015,FIRST,STAT 145,V-1R,3,____,1,1.0000,
3951-64773,2015,FIRST,CE 171,V,3,____,1,1.0000,
9621-47822,2015,FIRST,IE 142,W,3,____,2,1.0000,
9621-47822,2015,FIRST,IE 184,GH-1L,3,____,0,0.0000,
2970-35574,2015,FIRST,CE 134,T-2C,3,____,6,1.0000,
7152-38303,2015,FIRST,IE 3,V,3,____,3,1.0000,
1474-17221,2015,FIRST,EE 126,F-2L,3,____,1,1.0000,
1474-17221,2015,FIRST,EE 158,ST-2L,3,____,2,1.0000,
1474-17221,2015,FIRST,EE 171,C,3,____,3,1.0000,
3543-60219,2015,FIRST,BIO 102,T-1L,3,____,6,1.0000,
8404-39413,2015,FIRST,CMSC 131,C-1L,3,____,1,1.0000,
8404-39413,2015,FIRST,CMSC 124,T-4L,3,____,2,1.0000,
8404-39413,2015,FIRST,CMSC 141,D-6L,3,____,5,1.0000,
6146-79909,2015,FIRST,EE 151,W,3,____,2,1.0000,
6353-64584,2015,FIRST,HUM 2(AH),W-3R,3,____,1,1.0000,
1161-10940,2015,FIRST,IE 151,ST-1L,3,____,2,1.0000,
1161-10940,2015,FIRST,IE 134,ST-2L,3,____,6,1.0000,
8338-54939,2015,FIRST,CHEM 112.1,3L,2,____,1,1.0000,
7569-72271,2015,FIRST,CHEM 15.0,G,3,____,2,1.0000,
7569-72271,2015,FIRST,FRM 117,Y,3,____,4,1.0000,
7569-72271,2015,FIRST,FRM 119,CD-1L,3,____,0,0.0000,
7569-72271,2015,FIRST,AECO 120,U-1R,3,____,0,0.0000,
6926-52609,2015,FIRST,FRM 104,GH-5L,3,____,2,1.0000,
6926-52609,2015,FIRST,SFI 100,U-3L,3,____,4,1.0000,
6926-52609,2015,FIRST,SFFG 149,WX,3,____,7,1.0000,
6926-52609,2015,FIRST,SFFG 120,EF,3,____,0,0.0000,
9240-47268,2015,FIRST,POSC 1(SSP),A-4R,3,____,8,1.0000,
6798-56789,2015,FIRST,PHYS 121,X,3,____,1,1.0000,
5920-86793,2015,FIRST,CHEM 44.0,Z,3,____,1,1.0000,
5920-86793,2015,FIRST,PHYS 83,BT-6L,5,____,2,1.0000,
5920-86793,2015,FIRST,CHEM 112,G,3,____,4,1.0000,
5920-86793,2015,FIRST,CHEM 137,D,3,____,6,1.0000,
9185-59277,2015,FIRST,CMSC 22,WX-1L,3,____,2,1.0000,
9185-59277,2015,FIRST,DEVC 199,A1,1,____,4,1.0000,
6769-20574,2015,FIRST,IE 21,W,3,____,5,1.0000,
6769-20574,2015,FIRST,ENSC 26,C-2L,3,____,0,0.0000,
9600-40246,2015,FIRST,HNF 42,S-1L,4,____,1,1.0000,
4742-44085,2015,FIRST,HNF 42,S-1L,4,____,1,1.0000,
5061-67662,2015,FIRST,PPTH 104,B-3L,3,____,5,1.0000,
3628-46273,2015,FIRST,MATH 181,E,3,____,5,1.0000,
3628-46273,2015,FIRST,NASC 2(MST),G,3,____,0,0.0000,
9792-02272,2015,FIRST,VETA 103,G-1L,3,____,1,1.0000,
5442-39458,2015,FIRST,CHEM 32.0,T,3,____,1,1.0000,
5442-39458,2015,FIRST,FST 111,C,3,____,5,1.0000,
3526-50804,2015,FIRST,FST 170,ST,3,____,3,1.0000,
4019-13407,2015,FIRST,AECO 160,CD-1L,3,____,3,1.0000,
4884-54256,2015,FIRST,AGRI 199,Y2,1,____,2,1.0000,
6188-24139,2015,FIRST,MATH 28,T-1R,3,____,3,1.0000,
4126-21036,2015,FIRST,POSC 180,W,3,____,2,1.0000,
4126-21036,2015,FIRST,ENG 101,E,3,____,3,1.0000,
1127-49699,2015,FIRST,FST 167,T-2L,3,____,2,1.0000,
1127-49699,2015,FIRST,HUM 2(AH),W-4R,3,____,3,1.0000,
1127-49699,2015,FIRST,DEVC 199,A1,1,____,4,1.0000,
8768-75653,2015,FIRST,CHEM 160,S,3,____,4,1.0000,
0216-67709,2015,FIRST,ABE 50,A-2L,3,____,3,1.0000,
0216-67709,2015,FIRST,ABE 81,G-2L,3,____,6,1.0000,
2800-15171,2015,FIRST,MATH 28,T-1R,3,____,3,1.0000,
2800-15171,2015,FIRST,CMSC 131,C-4L,3,____,4,1.0000,
2800-15171,2015,FIRST,MATH 143,U,3,____,5,1.0000,
0363-01217,2015,FIRST,MATH 38,T-2R,3,____,1,1.0000,
4587-07227,2015,FIRST,NASC 2(MST),G,3,____,2,1.0000,
0171-86035,2015,FIRST,COMA 101,U,3,____,2,1.0000,
0171-86035,2015,FIRST,ENG 101,E,3,____,3,1.0000,
0241-96772,2015,FIRST,ENSC 16,B,3,____,1,1.0000,
0241-96772,2015,FIRST,ABE 31,T-1L,2,____,3,1.0000,
4617-37887,2015,FIRST,POSC 1(SSP),A-3R,3,____,1,1.0000,
4617-37887,2015,FIRST,FST 101,ST-2L,3,____,2,1.0000,
4617-37887,2015,FIRST,FST 198,AR,3,____,4,1.0000,
3936-35778,2015,FIRST,MATH 2(MST),S,3,____,3,1.0000,
3936-35778,2015,FIRST,ENSC 26,Z-3L,3,____,0,0.0000,
3936-35778,2015,FIRST,EE 170,C,3,____,0,0.0000,
2707-87330,2015,FIRST,HUM 2(AH),W-2R,3,____,0,0.0000,
0275-47385,2015,FIRST,NASC 10(MST),U,3,____,1,1.0000,
2015-03705,2015,FIRST,NASC 4(MST),V,3,____,7,1.0000,
5234-21283,2015,FIRST,VETC 171,1L,2,____,0,0.0000,
8219-43168,2015,FIRST,ANSC 121,A-1L,3,____,4,1.0000,
0935-42160,2015,FIRST,EE 120,A-1L,4,____,3,1.0000,
0935-42160,2015,FIRST,CMSC 124,T-5L,3,____,4,1.0000,
2831-51448,2015,FIRST,ABE 180,G,3,____,2,1.0000,
2831-51448,2015,FIRST,CE 121,AB1-1C,3,____,4,1.0000,
2831-51448,2015,FIRST,CE 133,CD-2C,3,____,5,1.0000,
2831-51448,2015,FIRST,CE 151,T,3,____,6,1.0000,
8596-58593,2015,FIRST,POSC 1(SSP),A-4R,3,____,4,1.0000,
8596-58593,2015,FIRST,STAT 165,WX-2L,3,____,6,1.0000,
8596-58593,2015,FIRST,NASC 4(MST),G,3,____,0,0.0000,
4251-00757,2015,FIRST,CE 134,T-2C,3,____,5,1.0000,
4251-00757,2015,FIRST,ABE 174,V-1L,3,____,6,1.0000,
2050-75819,2015,FIRST,SFFG 111,T,3,____,2,1.0000,
3873-45470,2015,FIRST,DEVC 121,H,3,____,3,1.0000,
3873-45470,2015,FIRST,DEVC 133,T-1L,3,____,4,1.0000,
3563-34594,2015,FIRST,IE 21,W,3,____,6,1.0000,
8278-03087,2015,FIRST,AGRI 121,X,3,____,4,1.0000,
8278-03087,2015,FIRST,ABE 1,B-1L,3,____,5,1.0000,
5281-00544,2015,FIRST,NASC 2(MST),T,3,____,0,0.0000,
0411-14658,2015,FIRST,EE 126,F-1L,3,____,1,1.0000,
6483-50523,2015,FIRST,NASC 2(MST),T,3,____,3,1.0000,
6483-50523,2015,FIRST,DEVC 199,A1,1,____,6,1.0000,
5591-63765,2015,FIRST,IE 142,W,3,____,7,1.0000,
5591-63765,2015,FIRST,IE 151,ST-1L,3,____,0,0.0000,
9090-44933,2015,FIRST,CHEM 40.0,A,3,____,1,1.0000,
9090-44933,2015,FIRST,CHEM 40.1,28L,1,____,2,1.0000,
9090-44933,2015,FIRST,MATH 151,H,3,____,3,1.0000,
9090-44933,2015,FIRST,AMAT 19,Z,3,____,4,1.0000,
5975-93831,2015,FIRST,AECO 160,CD-1L,3,____,2,1.0000,
2172-62774,2015,FIRST,VETC 171,1L,2,____,1,1.0000,
8756-02334,2015,FIRST,VETC 173,WX,1,____,3,1.0000,
8756-02334,2015,FIRST,VETC 175,1L,6,____,4,1.0000,
8756-02334,2015,FIRST,VMED 200-2,AR(2),2,____,5,1.0000,
7819-21839,2015,FIRST,ANTH 10,T,3,____,3,1.0000,
7819-21839,2015,FIRST,COMA 101,G,3,____,7,1.0000,
7819-21839,2015,FIRST,CMSC 2,E-4L,3,____,8,1.0000,
9923-44405,2015,FIRST,MATH 181,E,3,____,1,1.0000,
3587-52821,2015,FIRST,APHY 105,Y-1L,3,____,1,1.0000,
3587-52821,2015,FIRST,PHYS 121,X,3,____,2,1.0000,
3587-52821,2015,FIRST,APHY 199,UV,1,____,3,1.0000,
2047-30245,2015,FIRST,CHEM 160,S,3,____,1,1.0000,
8494-11788,2015,FIRST,NASC 8(MST),D-2R,3,____,3,1.0000,
8494-11788,2015,FIRST,FST 111,AB,3,____,4,1.0000,
8494-11788,2015,FIRST,FST 170,ST,3,____,0,0.0000,
5414-24607,2015,FIRST,PHYS 141,E,3,____,3,1.0000,
5414-24607,2015,FIRST,PHYS 132,G,3,____,5,1.0000,
9112-07424,2015,FIRST,POSC 1(SSP),A-4R,3,____,1,1.0000,
9112-07424,2015,FIRST,BIO 139,W,3,____,6,1.0000,
9112-07424,2015,FIRST,MCB 103,T,3,____,0,0.0000,
3440-77370,2015,FIRST,CRPT 1,T-5L,3,____,1,1.0000,
3440-77370,2015,FIRST,CRSC 1,Y-2L,3,____,4,1.0000,
3440-77370,2015,FIRST,ANSC 101,C-1L,3,____,0,0.0000,
3440-77370,2015,FIRST,ANSC 111,S-1L,3,____,0,0.0000,
1911-65393,2015,FIRST,BIO 155,AB-2L,3,____,3,1.0000,
9261-57684,2015,FIRST,CHEM 160,A,3,____,2,1.0000,
4632-96611,2015,FIRST,CHEM 131,AB-1L,4,____,2,1.0000,
5332-38479,2015,FIRST,CE 171,V,3,____,4,1.0000,
5184-30417,2015,FIRST,IE 184,GH-3L,3,____,3,1.0000,
5184-30417,2015,FIRST,IE 152,W,3,____,6,1.0000,
5184-30417,2015,FIRST,IE 134,ST-1L,3,____,0,0.0000,
5184-30417,2015,FIRST,NASC 2(MST),Z,3,____,0,0.0000,
4824-27522,2015,FIRST,HORT 106,T-2L,3,____,2,1.0000,
4168-66356,2015,FIRST,HNF 123,A-2L,3,____,1,1.0000,
0946-81460,2015,FIRST,AECO 160,CD-1L,3,____,3,1.0000,
7297-76350,2015,FIRST,WLDL 101,Y-1L,3,____,2,1.0000,
7297-76350,2015,FIRST,DEVC 120,ST-1L,3,____,6,1.0000,
6828-97188,2015,FIRST,ANSC 103,UV-2L,3,____,1,1.0000,
6828-97188,2015,FIRST,AECO 120,AB-2R,3,____,2,1.0000,
6147-27178,2015,FIRST,EE 171,C,3,____,1,1.0000,
6147-27178,2015,FIRST,EE 180,D,3,____,5,1.0000,
6147-27178,2015,FIRST,EE 181,YZ-2L,3,____,6,1.0000,
8039-55587,2015,FIRST,CHEM 160,A,3,____,7,1.0000,
8039-55587,2015,FIRST,MATH 1(MST),V,3,____,0,0.0000,
0071-33206,2015,FIRST,EE 21,D-1L,4,____,1,1.0000,
0192-36460,2015,FIRST,PHYS 82,DV-2L,5,____,2,1.0000,
9867-80276,2015,FIRST,VETC 171,1L,2,____,3,1.0000,
9867-80276,2015,FIRST,VPTH 123,X-1L,3,____,4,1.0000,
9515-96347,2015,FIRST,AGRI 11,A,1,____,2,1.0000,
9515-96347,2015,FIRST,CHEM 15.1,1L,2,____,3,1.0000,
5342-99779,2015,FIRST,AGR 112,U,3,____,3,1.0000,
3453-12327,2015,FIRST,PHYS 82,DV-2L,5,____,3,1.0000,
0490-95406,2015,FIRST,CHEM 160,A,3,____,1,1.0000,
2365-83946,2015,FIRST,PE 2-PF,PF-YZ1,0,____,1,1.0000,
3666-03488,2015,FIRST,MATH 28,T-1R,3,____,1,1.0000,
6804-80938,2015,FIRST,MGT 181,Y,3,____,6,1.0000,
8402-50312,2015,FIRST,FBS 167,U-1L,3,____,1,1.0000,
8402-50312,2015,FIRST,FBS 161,AB-1L,3,____,4,1.0000,
8402-50312,2015,FIRST,FPPS 128,YZ-1L,3,____,0,0.0000,
5134-62158,2015,FIRST,BIO 138,Y,3,____,2,1.0000,
5134-62158,2015,FIRST,BIO 139,W,3,____,7,1.0000,
1086-04496,2015,FIRST,CE 121,AB1-2C,3,____,1,1.0000,
1086-04496,2015,FIRST,MATH 38,T-2R,3,____,4,1.0000,
1086-04496,2015,FIRST,ENSC 16,Y,3,____,6,1.0000,
1086-04496,2015,FIRST,CE 131,U-2C,3,____,7,1.0000,
1086-04496,2015,FIRST,ENSC 18,V-1L,3,____,0,0.0000,
0393-28083,2015,FIRST,ECON 104,W,3,____,2,1.0000,
1336-17441,2015,FIRST,ABM 180,T,3,____,2,1.0000,
1336-17441,2015,FIRST,MGT 141,E,3,____,3,1.0000,
1336-17441,2015,FIRST,MGT 181,Y,3,____,7,1.0000,
6303-42779,2015,FIRST,ENG 101,E,3,____,1,1.0000,
6303-42779,2015,FIRST,COMA 101,T,3,____,4,1.0000,
0196-19340,2015,FIRST,AMAT 172,E,3,____,1,1.0000,
3263-94141,2015,FIRST,VPTH 123,X-1L,3,____,0,0.0000,
8066-35307,2015,FIRST,EE 170,D,3,____,1,1.0000,
8066-35307,2015,FIRST,EE 12,W-1L,4,____,3,1.0000,
8066-35307,2015,FIRST,EE 18,X,3,____,4,1.0000,
9239-77369,2015,FIRST,CE 121,AB1-1C,3,____,1,1.0000,
9239-77369,2015,FIRST,CE 134,T-2C,3,____,5,1.0000,
9239-77369,2015,FIRST,ABE 174,V-1L,3,____,0,0.0000,
1786-45359,2015,FIRST,ABE 174,V-1L,3,____,2,1.0000,
1786-45359,2015,FIRST,NASC 2(MST),T,3,____,3,1.0000,
3877-99661,2015,FIRST,CHEM 32.0,T,3,____,1,1.0000,
3877-99661,2015,FIRST,FST 111,AB,3,____,2,1.0000,
3877-99661,2015,FIRST,AGRI 199,Y2,1,____,4,1.0000,
8873-15664,2015,FIRST,ABE 174,V-1L,3,____,5,1.0000,
3277-11373,2015,FIRST,FST 140,A-2L,3,____,3,1.0000,
3277-11373,2015,FIRST,FST 141,AB-1L,3,____,4,1.0000,
3277-11373,2015,FIRST,AGRI 199,Y2,1,____,6,1.0000,
3554-05188,2015,FIRST,SDS 30,CD1-1L,3,____,1,1.0000,
0202-46646,2015,FIRST,MATH 28,T-1R,3,____,2,1.0000,
4700-73128,2015,FIRST,CMSC 2,E-5L,3,____,5,1.0000,
6531-94937,2015,FIRST,CHEM 160,S,3,____,3,1.0000,
6531-94937,2015,FIRST,HNF 123,A-2L,3,____,4,1.0000,
4960-08730,2015,FIRST,SFI 120,A-2L,3,____,1,1.0000,
2833-77663,2015,FIRST,ZOO 120,ABST-1L,5,____,6,1.0000,
0648-27533,2015,FIRST,APHY 101,AB-1L,3,____,2,1.0000,
0648-27533,2015,FIRST,MATH 38,T-3R,3,____,3,1.0000,
7664-82600,2015,FIRST,CHEM 15.0,X,3,____,3,1.0000,
7664-82600,2015,FIRST,CERP 140,Y,3,____,6,1.0000,
7664-82600,2015,FIRST,CERP 132,G,3,____,7,1.0000,
6368-67792,2015,FIRST,FRM 117,C,3,____,3,1.0000,
5869-70251,2015,FIRST,FRM 184,T-1L,3,____,1,1.0000,
1808-16770,2015,FIRST,ABE 50,A-2L,3,____,3,1.0000,
7816-75510,2015,FIRST,CHEM 160,S,3,____,3,1.0000,
7816-75510,2015,FIRST,ZOO 117,UV-1L,3,____,4,1.0000,
6482-61334,2015,FIRST,HNF 123,U-3L,3,____,2,1.0000,
8018-39170,2015,FIRST,MATH 38,T-3R,3,____,1,1.0000,
7218-87659,2015,FIRST,FST 167,T-1L,3,____,2,1.0000,
7218-87659,2015,FIRST,CHEM 160,S,3,____,3,1.0000,
7218-87659,2015,FIRST,FST 140,A-2L,3,____,4,1.0000,
7218-87659,2015,FIRST,FST 141,AB-2L,3,____,5,1.0000,
3202-84293,2015,FIRST,MATH 165,T,3,____,3,1.0000,
3202-84293,2015,FIRST,MATH 143,U,3,____,4,1.0000,
8201-21924,2015,FIRST,MATH 26,S-1R,3,____,1,1.0000,
5072-47104,2015,FIRST,CHEM 112,Z,3,____,8,1.0000,
8121-23802,2015,FIRST,CMSC 11,T-5L,3,____,1,1.0000,
8121-23802,2015,FIRST,CRPT 2,G-6L,3,____,4,1.0000,
8121-23802,2015,FIRST,POSC 1(SSP),A-4R,3,____,6,1.0000,
9006-38414,2015,FIRST,CMSC 137,B-2L,3,____,2,1.0000,
9006-38414,2015,FIRST,CMSC 131,C-4L,3,____,5,1.0000,
9006-38414,2015,FIRST,CMSC 124,T-5L,3,____,6,1.0000,
6435-65367,2015,FIRST,AMAT 160,U,3,____,3,1.0000,
3065-33311,2015,FIRST,MATH 17,U-4R,5,____,1,1.0000,
8411-94562,2015,FIRST,STAT 166,EF-1L,3,____,3,1.0000,
