stdno,allowedunits,currentunitsenlisted
0490-95406,21,3
6497-18591,18,0
2365-83946,16,0
3666-03488,17,3
6804-80938,18,3
8402-50312,18,9
5134-62158,19,6
1086-04496,21,15
0393-28083,18,3
5416-10918,17,0
1336-17441,18,9
6825-13450,21,0
6303-42779,18,6
5211-96846,20,0
6134-40992,21,0
0196-19340,16,3
3263-94141,21,3
8066-35307,20,10
9239-77369,21,9
1786-45359,20,6
3877-99661,20,7
8873-15664,20,3
3277-11373,20,7
3554-05188,21,3
0202-46646,17,3
4700-73128,18,3
6531-94937,21,6
4960-08730,21,3
2833-77663,19,5
0648-27533,20,6
6797-09228,16,0
7287-89429,20,0
0782-07842,19,0
7664-82600,21,9
6368-67792,21,3
5869-70251,18,3
1808-16770,19,3
1077-39544,19,0
7816-75510,19,6
6482-61334,21,3
6153-69932,21,0
8018-39170,18,3
7218-87659,20,12
3202-84293,18,6
4085-46131,19,0
8201-21924,19,3
5072-47104,19,3
8121-23802,21,9
9006-38414,17,9
8562-07568,21,0
6435-65367,18,3
3065-33311,20,5
7119-47939,19,0
6573-34047,18,0
8411-94562,12,3
8375-37435,19,6
1372-17891,18,6
1726-83323,21,7
3245-69288,19,15
9709-18812,18,0
5282-51221,20,6
2984-21502,20,0
2499-55289,21,9
9692-21048,17,3
2287-96338,21,3
6237-16879,18,6
2023-39279,20,3
1811-16866,18,12
6367-94061,21,0
9310-02295,18,7
9614-89104,12,0
3144-75030,21,0
3702-89311,18,0
4036-71231,24,12
0502-29730,18,6
4874-02443,18,0
4609-82541,20,3
9553-15048,19,1
6222-70391,20,3
4556-68414,17,0
1446-00001,18,6
2596-45840,20,9
5754-75375,20,7
5877-24975,21,1
2434-84280,18,12
6052-83654,18,9
2491-85112,19,1
9177-79326,20,8
7255-14440,19,6
2823-08249,21,4
0948-68390,20,0
8035-00996,18,3
6979-55985,21,0
1946-60772,21,3
5875-45173,20,3
6457-06646,18,4
8829-56420,19,3
8902-45040,17,3
5678-95595,18,10
8156-45009,19,3
5429-49438,18,7
6167-25653,20,0
0494-31256,18,0
3560-09433,21,4
7584-73424,19,7
1373-55717,20,13
8476-18639,20,6
9355-15873,19,6
0707-22373,20,6
4806-73556,17,0
9172-11045,18,6
5676-75039,18,18
0823-20807,21,15
2580-68718,19,3
5083-69320,19,11
8056-07423,21,3
7719-96023,18,3
0595-64688,18,1
9180-91610,19,3
2039-24410,21,12
4813-16034,21,3
4718-26445,18,4
1029-68453,18,0
4258-52651,17,0
0497-91919,20,8
1010-31525,21,9
0380-22940,17,0
7960-26027,20,4
1237-61966,21,7
2234-83069,18,3
9132-20671,18,9
3538-27297,19,6
6381-92335,20,0
2689-12599,21,7
7604-94937,20,3
7192-92168,21,3
4342-20356,20,4
0162-41649,19,1
5692-76127,21,0
8994-72079,19,3
3391-64104,18,3
6373-95575,19,6
6503-60908,19,3
4651-59293,20,3
5674-73154,21,8
5015-76508,19,0
0441-38007,20,0
2781-86407,18,9
9227-28509,20,9
9366-74600,20,6
1788-90825,21,0
4085-36722,18,3
3436-35611,18,3
6506-71039,18,6
6447-36305,18,12
7123-54136,18,3
0813-17527,17,3
1472-63352,20,0
1966-60207,18,1
5829-11264,17,3
3967-74747,21,6
1561-79277,19,3
6061-67499,20,0
6556-10675,18,6
8220-46528,17,9
9829-47693,18,0
2239-97812,12,3
8219-24742,17,3
9923-77302,17,6
6037-02686,19,4
5885-68422,21,3
9110-63538,18,6
1416-98883,20,0
3485-19566,24,6
5721-69632,20,12
6212-23342,21,11
5339-47829,20,0
2261-35469,20,0
8179-62926,18,9
0128-63956,17,0
5855-84212,19,9
2364-01925,17,6
7077-15635,17,8
2248-43493,18,0
7279-49336,21,0
1124-04047,19,6
0640-29811,19,1
8146-74378,18,15
5216-53712,19,3
4545-03412,20,0
8922-09597,21,9
6940-62522,21,3
0808-28864,18,12
7446-80661,20,0
3861-62015,18,5
0200-47231,18,6
9023-78203,21,3
8097-49544,18,0
7884-46788,21,10
3166-65122,21,0
7106-80526,21,9
8305-73541,21,8
4439-44388,21,3
3355-20343,19,6
0872-74629,19,13
4417-47210,12,2
8118-05066,17,0
8033-40299,18,3
6128-03954,19,7
1227-27210,18,0
9288-31690,18,6
2279-77231,17,11
6176-53374,20,6
0902-13898,18,3
7266-92040,21,0
5687-13382,17,3
3088-62107,24,5
5755-59005,19,9
0537-80381,17,3
0399-32432,21,12
1275-45138,18,3
0121-73160,18,0
9951-90201,20,9
7572-72290,21,2
3658-77202,20,3
7486-72558,18,9
1038-02854,21,0
0069-62763,20,0
2054-55897,20,10
4713-89352,21,1
9823-85686,18,3
9205-78803,18,0
2673-36056,18,15
4150-10203,18,9
3115-42593,19,0
2589-30004,21,0
4180-45772,19,3
4736-52271,18,6
3627-27643,24,5
0755-78519,18,0
9932-71310,21,6
0167-34897,24,3
2937-38064,17,0
7074-14208,18,6
8826-63909,24,2
7476-22495,18,4
2319-74399,21,6
6620-63247,18,6
4364-06739,18,3
8800-61373,21,0
0100-10034,18,3
2869-30585,18,12
7295-95058,19,9
5865-27579,18,13
0295-59501,18,0
4177-93056,20,5
8491-30552,21,7
6353-68508,20,6
0858-10873,18,6
1247-00560,20,6
7892-58562,20,0
8563-16706,18,5
2888-33531,23,0
4330-26196,20,0
1347-99110,18,1
8254-34241,18,3
3189-88468,19,3
7266-94280,19,3
2881-26530,19,8
9338-80105,21,3
4558-25030,21,0
6455-00484,21,6
6043-16487,21,12
1297-48917,21,0
8772-38888,21,6
1359-89621,18,3
9455-77890,18,3
6316-82288,21,15
4667-39075,19,1
9222-01237,20,6
3442-32265,15,0
4074-45778,18,0
2112-11325,19,9
8397-51206,18,6
0616-83609,17,12
2910-24948,19,10
1260-17117,23,6
9516-61712,18,9
9205-63659,18,6
9753-02990,20,13
4042-55812,20,6
2331-31812,18,9
4676-66495,18,3
2548-81168,20,10
7994-31361,21,12
7212-81938,20,0
4277-50524,20,10
5758-59560,18,12
1822-61525,21,6
1765-26295,18,3
5057-90432,21,3
7443-85684,18,6
4519-32291,19,6
3741-86296,20,3
1654-39533,18,9
2684-43522,17,9
5152-61701,17,0
6705-23167,18,3
5749-43311,19,4
5330-89653,18,9
0240-01829,18,9
5327-97201,19,6
0583-66127,17,5
3440-93350,21,6
3817-19956,19,9
0129-55138,18,12
1017-61490,18,15
0644-53981,20,8
5830-62542,18,6
1638-31836,18,9
8980-82143,21,2
5455-74204,18,9
4803-14422,20,7
3941-11529,23,6
2862-08181,18,3
2325-90496,17,3
1976-54578,20,6
1529-94296,23,3
5657-61312,20,5
2204-17221,20,7
2131-92021,18,9
3235-82332,21,6
3514-70685,21,0
4676-04535,23,3
7451-13509,20,3
4627-54474,21,9
0256-96342,18,0
1376-27360,21,9
6099-49398,21,13
1202-60369,18,0
3044-04282,18,3
3279-61456,20,3
1699-62150,20,3
2840-34761,18,0
6504-02077,18,6
4248-32152,20,8
8215-46753,18,3
4767-48638,21,6
1659-70987,21,12
8989-83698,21,12
8214-98481,20,7
2666-13229,12,3
3251-35438,20,8
5012-55677,18,9
0640-63861,19,6
6639-20195,21,3
5828-94349,17,0
2297-16394,21,9
6253-45357,21,6
1619-59715,18,3
9187-58790,18,6
6123-54360,18,3
8571-06334,18,6
9378-66689,18,0
7818-55948,18,12
6148-87623,21,3
4486-04840,20,3
5491-83643,20,3
7574-84550,21,12
5184-76692,20,8
5812-12055,21,12
2167-50458,17,9
5327-15241,20,8
5082-04237,21,0
8620-44512,21,3
0392-77108,21,3
7142-10636,18,3
7260-60981,18,9
0582-91189,21,3
1319-15056,17,8
3951-59169,21,0
9591-38539,18,6
6442-46542,20,5
3769-68744,21,7
0732-98860,18,6
4359-15896,18,3
1791-07940,18,3
7939-50037,21,3
4506-04885,19,9
6914-65145,18,3
9288-75814,21,16
9362-52506,20,7
8291-95296,18,0
5623-95406,19,0
1505-89808,20,0
4239-61968,21,12
7322-22292,21,9
4515-50918,19,3
5223-35230,18,7
3795-40503,18,3
2761-03023,21,4
7884-15486,18,6
5062-48730,19,0
2031-38531,18,12
5935-40945,18,3
5212-80476,18,12
0621-93989,20,12
2338-49447,20,0
8318-76494,18,3
0222-49394,21,9
9877-57240,18,0
0161-53304,18,3
2130-27815,21,11
8860-22731,20,7
3294-76182,21,3
8852-44806,20,3
4951-32941,18,3
4150-52607,18,3
3124-28019,20,0
2708-94195,20,6
1012-78542,20,4
4955-82206,18,0
3728-52406,20,10
7550-21088,21,9
3231-50650,21,9
5043-35530,19,6
6636-93086,18,6
3775-60280,21,3
2558-60173,21,5
5167-19572,18,3
6859-87549,20,6
4412-69465,21,9
9621-91337,18,3
2669-18923,19,8
4922-59783,19,0
3369-55659,17,6
6807-32332,21,11
4116-27017,18,6
3113-36418,20,6
4649-03423,18,6
2705-33457,19,3
6833-82327,18,15
8190-39868,20,0
8343-68055,21,6
7126-56720,20,3
9847-33675,18,6
6648-00072,19,6
6632-73695,17,5
1160-90690,18,3
7964-98682,21,3
5715-61470,18,0
2721-75258,18,3
1839-94052,21,0
9445-66808,17,6
6763-29908,18,6
8904-63300,19,3
8920-33285,18,0
4471-34999,20,9
2849-26968,23,0
2935-47948,21,3
8135-59946,20,0
5754-32747,18,3
0896-01929,17,9
5469-88924,18,6
7365-74229,19,0
4743-40914,21,12
0481-70670,17,3
0351-39746,21,0
0837-28908,21,12
9651-73559,19,1
7662-56634,20,6
3023-59778,20,4
2723-65482,21,3
9929-87470,21,0
9142-43416,20,0
8166-48558,20,0
0087-98707,18,9
9726-50531,17,0
9478-12390,21,12
8342-78260,18,0
5259-95437,20,1
6388-77729,21,6
2193-83925,19,5
9247-83049,20,10
0636-84853,17,9
4411-84182,21,3
0384-84826,17,3
8825-18980,17,9
3149-01506,19,3
9988-61470,20,15
3937-02786,18,9
7842-12510,18,9
4101-88753,21,0
2957-25121,20,8
4604-04455,18,3
5155-94189,19,3
7774-95254,18,6
5507-93110,18,6
9865-60973,18,0
8201-95226,21,9
3607-38923,21,3
5419-17270,17,0
8149-72837,18,3
0888-96425,20,0
3696-45937,19,5
5602-39547,21,0
5144-16286,21,9
2228-29372,18,3
1116-81423,18,6
7674-51508,19,3
4448-46967,20,0
5446-78109,17,11
8343-45573,18,5
1491-24195,19,5
6993-50660,19,3
4600-78660,20,3
5275-71522,21,12
7728-34581,18,10
3693-48356,18,6
4340-96812,21,11
5502-01684,18,6
6219-82674,18,3
5811-26395,23,0
8999-18583,18,15
4076-52930,18,4
7721-09029,18,0
6819-07667,19,3
6192-32458,19,3
4369-04923,21,6
1966-63687,23,3
3614-53561,20,8
4275-18329,19,3
4574-31080,18,10
3270-36423,21,0
0676-05035,18,3
0428-48978,18,6
8387-58901,19,0
9157-26950,21,3
1106-09521,21,12
1389-52442,18,9
4765-80870,19,10
7897-90327,17,3
2534-73234,18,6
4007-36908,18,9
7468-24793,18,3
3924-29434,21,9
7109-26327,18,0
6123-81594,19,3
2543-06753,18,9
0446-03118,18,6
5182-00449,19,3
7238-64060,21,10
4674-59049,18,9
7045-22831,19,3
4952-63924,20,5
7713-37381,20,3
1642-74946,20,11
7814-24661,19,3
5193-20989,18,12
7061-08116,21,0
9943-82797,21,7
1570-90329,20,3
9814-69381,19,3
7206-48250,21,9
8594-57062,16,13
9117-40010,18,6
1542-88970,18,3
0320-37938,18,3
4264-32422,18,6
3701-85697,18,3
1871-13685,19,8
1563-22312,18,3
3695-02745,23,4
8900-63389,18,12
5341-93771,20,8
2074-44568,18,3
9980-29666,20,6
3492-37208,18,9
7601-85948,17,0
7595-18281,19,8
6070-08416,18,9
3512-46797,18,6
7914-75078,17,6
6570-40211,20,9
6856-74836,18,9
2569-23726,19,3
9879-54381,17,0
7110-85695,18,6
4987-03325,18,6
7963-85529,19,3
1105-67165,18,15
4408-79086,18,0
8959-22946,20,9
4359-94691,18,6
9831-97705,18,9
1703-79386,20,3
5717-84098,20,0
3404-95932,18,6
2192-13458,21,6
3808-05545,18,9
9672-01633,17,0
2192-28007,18,9
6059-88906,21,0
7446-84621,20,0
5900-61985,18,6
7286-93393,20,3
2598-92232,21,6
9494-54009,20,12
8882-96419,20,3
2850-31279,17,0
7294-87239,20,9
3801-33301,18,9
6414-32059,20,6
1473-12988,19,6
1025-23793,21,0
6875-77959,18,3
6832-90984,21,3
7789-02646,21,3
7513-05413,21,3
7459-90426,18,6
3341-10708,18,3
9415-74358,19,7
2725-23983,21,8
2196-89845,18,3
9108-67218,18,3
4031-79778,18,15
0811-46736,18,6
5532-44584,18,3
0307-76198,18,6
5353-44005,19,0
4615-72173,18,0
4856-89073,19,3
7935-51294,18,0
1680-45054,18,6
0836-05033,18,6
6131-84762,18,3
8365-85095,18,6
9916-00351,18,3
9217-69887,18,6
1147-40865,18,0
9865-24626,19,3
0873-10552,18,3
5016-70622,17,0
4569-63626,21,0
4415-41472,19,3
5195-99133,18,6
2701-10711,21,6
8478-50461,21,3
5025-27338,18,3
8763-93596,20,6
2932-92432,19,3
1849-12942,20,0
9380-84325,19,6
2557-27073,21,0
4065-39587,18,9
0149-17679,18,9
7524-14686,21,0
8794-47901,21,6
3395-22900,21,9
5570-97792,17,9
4077-58041,19,8
5911-20747,21,0
3852-14997,19,3
1375-74408,20,3
5806-96879,21,9
0843-08283,18,3
5716-48973,17,3
2720-35748,21,9
4348-01392,18,8
2820-47335,21,3
3732-31279,20,3
4200-42934,21,18
6384-24435,20,3
2828-56435,20,0
6565-82607,18,9
9430-18329,20,6
2001-11093,18,9
3077-29337,17,0
5249-98347,21,0
1816-48534,18,12
5889-68195,19,3
9065-27207,20,7
9786-64422,18,12
6989-68782,21,6
6413-43526,18,9
8468-90826,20,3
0195-11489,19,0
5769-76710,21,12
5189-04800,20,6
8727-01638,19,3
0240-30842,20,3
0829-86495,19,6
2779-59425,18,12
4713-60656,17,5
9565-13428,18,0
4849-84499,20,3
6786-52997,20,3
1600-23283,18,3
4715-51552,18,12
2605-91583,17,3
6044-63179,18,12
9582-06509,20,0
3868-81610,17,3
2395-33369,19,0
8512-96882,19,8
8938-17935,18,12
8490-07346,19,3
9397-37619,18,3
5232-90544,18,3
2603-22223,18,6
4256-08944,20,3
8883-15086,19,6
5467-52244,20,3
4393-85364,20,6
1208-04721,21,6
6731-28825,18,3
7515-39902,18,6
6927-24725,23,3
5474-46318,18,9
8521-05259,18,3
3845-07598,19,3
2776-86127,18,6
0952-14540,21,9
9241-13062,21,6
4469-51524,18,15
7644-40719,20,6
0661-16974,19,3
9432-31865,19,0
3631-81038,18,3
6716-78489,20,0
2536-86040,18,0
2142-75676,20,3
9279-03184,21,3
7946-14589,18,5
0605-46165,18,0
2961-43065,21,7
0633-23155,18,12
4603-17389,18,3
5688-19134,18,3
8070-09567,19,3
2242-81099,21,3
2755-54088,18,6
9182-14982,20,0
0117-56593,19,3
4749-55692,19,6
5900-55342,17,0
1887-31355,21,0
5916-80666,19,3
2951-82159,20,0
3221-65466,21,3
5083-76726,19,5
3331-89433,20,0
4193-02615,20,3
6279-38748,17,0
3035-34146,18,3
2912-34337,20,6
7540-41826,20,3
7316-38598,21,15
7746-56862,18,3
4850-01629,18,0
2792-70227,21,6
8714-40473,19,0
4138-01143,20,3
8084-40861,17,3
4022-06251,21,0
2107-45683,18,10
2124-80029,18,5
5117-35269,18,3
4710-79826,18,3
7229-82541,17,0
8258-65124,18,15
3155-52069,18,8
9254-49159,20,0
4984-92690,18,6
1084-10418,18,6
9300-49706,20,3
4220-23980,17,5
1292-42015,17,0
4741-56952,18,6
6504-69879,20,3
0279-14137,20,3
7107-67472,19,0
1822-20753,21,9
1194-81932,18,0
2867-98661,21,3
0988-67589,17,0
9876-93815,19,6
5953-13530,20,3
4449-18875,18,3
7733-17441,17,0
0092-47067,18,15
2071-80878,20,3
2945-25415,17,3
5277-58898,20,0
2797-59614,20,3
3168-70837,18,3
7438-07330,19,6
7695-56432,18,6
7518-03795,18,6
4611-09335,18,3
2697-41195,19,3
1957-73921,18,9
4742-42366,21,3
3847-97570,18,0
4247-10685,19,0
6089-74290,19,3
2143-53526,20,0
9223-95195,18,6
0504-07445,18,6
2640-36291,18,5
9821-73226,18,0
2913-55390,20,5
8083-09296,21,15
0803-98768,20,3
2168-62278,19,0
3260-90939,18,0
2944-50478,18,0
3600-16158,19,0
1540-68019,16,3
3636-85368,16,3
8773-36971,16,6
5567-47114,16,3
1339-72642,16,3
5288-15135,19,3
4080-80661,18,9
7172-80242,18,3
5731-41110,21,6
0819-97909,17,6
0339-63886,18,6
0152-68555,18,9
8259-69144,18,0
1794-90437,17,3
6536-80730,18,0
9320-86832,19,0
7606-94349,17,3
7702-05794,18,3
8611-05475,19,9
2340-67298,18,9
0143-09653,18,0
5939-29452,21,9
4846-50077,18,6
8085-39787,17,0
4901-17882,16,3
8414-95127,21,6
5711-03156,20,11
3189-67365,21,0
4173-48011,18,8
3410-24157,20,0
6941-81169,18,8
2114-48242,19,8
2037-35387,18,3
5165-11237,18,8
3589-03760,19,3
7983-23517,18,9
0847-30927,19,3
9393-91667,18,0
2932-44393,20,5
2498-83675,20,11
5004-73217,19,3
1883-04135,18,9
4076-91816,18,9
2573-27522,18,5
3459-59204,17,6
7722-94274,20,5
6797-32451,20,6
0801-07216,18,9
8722-70945,19,8
8403-93717,20,9
6852-61514,19,3
6758-19426,18,3
6219-69251,22,3
8791-10595,18,3
7125-82430,18,3
7880-86432,17,8
9099-80907,18,8
4181-72443,20,0
2962-78274,18,8
1289-58473,20,6
7498-69338,20,3
8685-12849,19,6
2190-03121,18,0
8482-39651,19,3
7530-59578,20,3
6861-32370,17,9
0616-68852,17,3
4594-70721,18,6
9076-80843,20,6
0327-54485,18,3
3890-13540,18,6
4971-44168,18,12
8016-12651,18,3
2995-17871,18,0
9671-84695,20,6
7716-66956,19,0
3779-76652,18,9
1490-78819,18,6
4424-97508,19,3
1941-80778,19,3
6047-71248,17,3
0344-63094,18,3
9041-54973,18,3
4380-38396,20,5
8192-45730,19,6
8435-46428,18,6
1610-70383,20,0
3298-34088,19,9
2813-52111,18,9
0556-07120,18,3
8627-74218,17,9
8699-19280,19,3
4354-68795,18,3
1943-25184,18,6
9579-95999,18,14
2631-96166,20,0
9234-96670,18,6
1212-90710,18,14
4870-94115,19,6
0166-92038,18,3
8460-25925,18,8
4284-92979,20,0
8169-93115,18,6
6148-24041,17,3
9002-89332,18,3
0202-01896,17,6
0315-24766,18,6
4873-80227,17,14
0268-84252,18,6
8739-92382,17,11
8421-28943,18,5
3977-19965,19,6
6329-01454,20,3
3078-33023,18,0
8275-88056,20,0
9075-80593,17,3
5574-57594,20,11
6381-63458,20,7
9618-96198,18,3
8452-44085,19,0
1341-96118,18,6
9569-52275,17,11
8710-81180,18,8
1224-05303,18,3
0329-55090,18,3
8799-14561,20,6
8186-91899,18,9
6435-20047,20,0
9530-22281,20,0
0287-29363,18,3
1626-33322,18,3
1386-88850,18,14
2442-81493,20,3
9714-04648,19,6
5854-68972,18,3
6910-60743,20,6
5713-60975,18,5
8028-87276,17,6
1058-19670,19,3
8729-62179,17,0
2178-89104,18,6
0357-19103,20,3
5367-70423,18,0
7974-27062,17,3
9146-09012,17,3
3530-81055,20,0
3259-82411,18,9
3473-62108,20,3
8613-84766,20,0
0430-47508,18,3
7253-65619,18,9
4783-09519,19,9
6174-40739,18,0
1694-98618,18,3
8542-09236,19,6
3875-66322,19,3
7822-60518,17,3
4357-95719,18,3
0631-67930,18,3
6676-53144,18,9
3453-71433,18,3
1189-22375,18,9
4928-25017,21,0
7324-06220,19,3
8955-18610,18,8
1416-76847,18,8
1798-87255,21,6
4564-09793,18,6
6092-90210,20,0
8201-06110,17,3
4375-29883,18,9
4853-64404,19,3
9042-34156,18,3
6040-01237,17,3
8784-02708,18,11
2793-40695,21,6
3769-86624,17,3
6057-49913,18,3
7693-27196,18,5
0820-50141,18,6
6376-26968,18,6
2477-67515,19,6
3485-18442,17,3
3006-46201,19,6
9269-31500,19,3
3269-69489,17,9
1542-46749,18,9
2118-48712,17,6
2638-44678,20,9
2720-35032,17,17
0137-97463,18,6
5797-23050,20,8
4399-49971,19,3
4287-13434,18,6
0640-71751,19,8
6757-32854,19,6
9004-67824,19,6
7391-98225,19,0
6700-99780,19,6
3648-42620,21,3
2569-56643,20,0
2761-24795,19,3
2432-95941,18,0
9696-42576,18,8
8681-76714,18,0
2131-50735,20,4
5511-27841,20,4
8536-40828,19,0
9708-00674,17,8
2291-63789,18,3
8612-21928,21,6
1866-44707,21,6
9450-64025,18,3
0399-39753,20,4
5770-96858,19,3
0533-30843,18,8
5096-38604,17,8
9685-78886,20,0
6745-93311,18,8
3748-88859,20,6
1203-86636,20,8
1021-90639,18,3
0914-27187,18,8
2487-85717,20,6
8198-35019,18,0
6507-97178,18,9
7215-36428,19,6
9934-32710,18,3
4503-61256,19,0
1542-41864,19,6
0375-97223,20,5
9551-01801,17,0
7776-53277,18,6
4905-62763,18,6
6423-77266,19,6
1626-20139,19,0
5183-99834,18,6
5368-48882,18,0
9439-80784,17,9
4256-01604,19,3
7231-14308,18,3
9297-53714,17,0
1235-90763,20,0
9328-38071,20,9
9025-89065,20,9
8962-15234,20,6
2234-77918,20,3
2807-42389,20,9
5937-09355,20,6
9751-93581,20,0
6024-48431,18,10
7305-68223,18,3
5846-54947,18,9
6760-95424,16,7
8674-49081,16,6
7812-94397,16,3
6869-08571,16,6
9814-25282,16,6
1792-59153,16,3
7963-82748,16,6
6134-92412,16,6
2902-59913,20,9
