stdno,allowedunits,currentunitsenlisted
3357-72881,18,1
9407-93925,18,6
4331-02207,19,3
8173-69570,19,0
4086-39411,18,3
6658-62266,19,4
1709-43730,18,6
9728-43039,19,3
3471-92847,19,0
5755-18583,13,0
5342-44142,18,6
2686-78818,15,3
3968-87772,18,4
9242-27791,16,3
0751-51995,15,3
4537-82362,16,9
2545-02539,16,3
3517-23673,18,1
5507-82760,17,6
4687-97731,19,3
7526-92405,18,4
6210-51321,18,3
1922-89246,19,3
3841-83819,16,5
7930-34712,18,0
9916-10118,18,0
1928-58407,19,4
4172-77248,19,3
6179-17858,18,3
3379-12021,19,3
5823-36241,18,1
9036-14928,19,12
2370-94111,17,4
5710-63327,17,7
7149-99045,18,9
0611-18649,18,0
6094-07233,16,3
8533-18643,19,0
8913-50132,19,0
9229-69687,16,3
8345-03476,17,0
2655-10223,19,3
7342-94868,17,3
7167-28848,18,3
4866-71557,17,6
3338-21249,19,0
0850-84706,18,1
1292-40400,16,3
7211-66973,16,0
9974-93352,19,4
1661-60332,16,3
8828-52433,19,3
1659-83528,18,1
4046-16851,19,3
8044-29689,10,0
2584-47075,19,0
0255-21594,19,1
5599-05688,16,4
4448-53988,19,0
6396-28602,19,0
8424-99777,19,0
6294-78413,10,0
8043-52340,16,0
1690-19995,18,4
3563-97123,19,0
8428-22922,18,1
7644-06090,16,3
8270-23984,19,3
9173-02812,20,6
5753-09018,16,9
1138-77150,17,0
4280-26724,16,3
4565-90129,15,0
6169-87585,16,3
3171-49167,17,3
9832-23019,17,3
6810-70388,19,3
9996-42161,16,3
2927-53381,16,3
9194-96020,19,3
7736-28399,18,12
3011-68917,19,12
2673-85077,18,10
0602-39623,19,0
0267-13724,19,0
7428-90625,17,6
1667-41556,18,3
0887-61305,18,4
7337-19257,19,6
5909-71440,16,6
0827-28704,16,6
3063-30216,17,3
3651-11639,17,3
8759-49067,19,3
9257-53639,12,12
7923-33714,18,4
0298-27340,18,1
9596-88246,18,1
1208-80389,19,0
6696-97803,18,1
0710-43813,18,0
5511-45528,16,6
2801-52114,18,3
8115-41610,17,0
9512-81150,18,4
5323-84266,18,7
4361-85947,16,12
1943-28034,18,1
2525-44380,18,1
9832-92142,19,3
0758-93226,18,4
1532-53091,16,6
9873-92297,16,3
3738-04780,18,0
8733-17620,19,0
9171-68830,18,1
9272-61754,18,1
9972-97136,16,3
0007-36500,22,16
2525-60152,17,3
2145-10225,21,12
9956-33279,18,0
8752-28665,21,15
1292-34282,16,9
6571-10429,18,0
2701-53818,16,3
0056-15094,16,15
3716-96142,19,3
8903-03171,19,11
3540-26677,12,12
8925-91888,19,6
1003-34012,16,3
0474-88618,18,1
1310-77298,19,0
2000-07218,19,0
2560-63939,19,9
0961-90251,18,15
8479-79050,18,3
0107-86593,16,3
9011-42088,17,3
1979-29045,18,1
5953-26824,18,1
0833-22453,19,0
4853-80663,15,3
1898-69137,18,1
7728-62714,19,3
3233-92908,15,3
4091-55247,17,6
1439-42370,16,6
7283-64238,16,3
8962-36957,18,1
6374-30176,16,0
4207-40584,17,0
0546-11646,19,3
2866-43339,18,0
5708-15092,19,1
1812-10505,19,0
1587-29531,15,3
3075-85665,13,6
1463-49067,16,0
8657-46398,16,3
7542-90655,17,0
9491-18945,12,12
9441-90668,12,12
8272-04127,17,14
2085-98360,19,3
2380-82961,17,9
9401-25912,12,12
8735-85794,16,0
8428-91049,21,16
2575-83107,16,0
2474-28976,18,15
8605-87458,17,3
5411-43033,17,3
5222-70604,19,7
4687-97864,12,12
6631-97394,19,4
8076-27274,19,10
0909-23117,18,0
6632-58611,16,0
2073-08850,15,0
8785-81400,16,0
4982-48083,15,3
0344-35484,16,6
6351-92085,16,6
5056-70156,20,17
6093-66351,16,0
4167-83357,18,6
1159-46837,24,15
6263-17436,13,2
9840-86690,17,3
4810-16429,18,3
0938-73409,12,3
9910-75188,18,11
8726-63373,16,0
5219-53918,19,7
7742-03282,15,9
5634-18165,17,3
8453-70176,21,12
3483-18841,18,9
5644-12855,12,12
5171-98102,17,10
7210-04985,17,0
9477-94524,12,12
2512-23678,18,0
2295-47020,16,3
0405-16752,19,13
7914-32100,19,0
4649-42903,18,0
7596-78360,18,0
1122-95673,18,11
6883-29783,18,0
8064-69454,13,2
8489-89536,16,7
6172-43201,19,5
8766-57354,15,0
2308-31371,19,10
2558-47032,16,3
8560-94948,18,18
2206-87503,17,6
1481-64365,19,0
3424-04716,16,6
0502-56877,17,3
8442-29874,19,3
7135-99204,18,18
6896-26045,16,0
0347-59525,21,22
4209-95365,19,6
0990-35869,19,7
5007-26886,16,0
4425-18272,15,3
4362-57409,15,6
6762-07027,18,0
9093-95253,21,6
6050-14516,19,9
4408-41254,19,8
0965-93827,18,9
4527-41314,19,9
5682-47053,16,10
3154-57006,19,15
8433-28113,18,3
8405-22884,12,12
6352-28085,19,3
2348-53623,16,0
8218-96506,16,12
9359-08238,18,3
8371-67519,18,0
5963-14961,16,0
9526-30418,20,17
9016-52362,12,12
9241-01343,17,9
3679-44882,19,3
9343-75973,18,0
6185-04014,18,3
9972-64380,18,0
1348-28384,22,13
1767-68485,21,9
8001-44231,18,9
8501-02710,18,3
8246-60704,16,0
4841-38141,19,3
3801-75405,18,6
6662-69811,18,0
2562-79303,15,4
6367-60787,21,12
7543-20946,21,8
7751-12501,21,21
4653-06782,18,18
7265-70293,18,18
3161-82179,15,6
3113-87339,15,0
9205-64106,15,0
1046-89259,15,0
9263-77464,15,4
0539-17895,15,3
8577-87997,15,0
1421-26146,18,18
2664-99316,18,17
3264-36132,17,16
7817-65464,18,18
7830-55362,18,18
5447-17415,15,0
6909-18845,22,0
7329-25288,18,18
7743-34609,22,3
1007-86454,20,19
7690-58832,17,17
6244-61957,22,6
8421-24669,18,18
1313-07995,21,21
9510-73891,18,17
