stdno,allowedunits,currentunitsenlisted
2011-97695,0,0
1977-21665,0,0
2013-98515,0,0
2013-06704,12,9
2012-43989,19,17
2012-00584,19,13
2012-37390,18,6
2011-21545,21,19
2014-72661,19,17
2012-42545,19,18
2012-98116,0,0
2014-52759,19,18
2012-38465,20,6
2011-38477,20,16
2011-97467,18,6
2013-40220,17,11
2014-98762,18,18
2012-18861,21,4
2011-53112,21,19
2012-26666,19,18
2014-09072,19,19
2013-07426,19,16
2011-97419,0,0
2007-46937,0,0
2012-17911,18,18
2009-17146,18,9
2010-18484,17,12
2013-22363,18,18
2013-42233,15,15
2013-06310,21,21
2012-14915,19,17
2013-98457,0,0
2009-96637,21,7
2013-30624,18,18
2011-62105,21,15
2013-74155,23,15
2009-17227,21,14
2006-44347,17,0
2013-60981,20,18
2012-37531,18,15
2010-48989,18,18
2008-05808,19,0
2008-65809,20,8
2000-54276,0,0
2012-51195,19,18
2013-07713,18,18
2011-60023,19,15
2014-44249,19,19
2013-08210,18,18
2013-36478,18,18
2014-70641,20,20
2013-68050,21,21
2009-41538,0,0
2013-56274,18,18
2012-97792,18,18
2013-48344,18,17
2011-38435,16,0
2013-06208,23,20
2012-13026,18,18
2014-22349,17,17
2014-09090,17,16
2006-35553,0,0
2013-98607,0,0
2013-51621,18,15
2012-38374,19,19
2013-47460,19,17
2013-15660,21,21
2010-40485,21,9
2011-12166,20,10
2010-43434,20,16
2011-12840,18,0
2010-56517,17,15
2014-71810,20,20
2014-10100,20,20
2002-96361,0,0
2013-98575,0,0
2012-98191,18,18
2011-11890,19,4
2013-36048,21,19
2012-45268,21,18
2011-21489,19,13
2014-30760,18,18
2010-64835,21,0
2014-05805,17,17
2014-57061,20,20
2011-11318,21,17
2013-55770,21,21
2008-05307,18,7
2014-71922,21,21
2003-49708,0,0
2013-29949,18,15
2012-16985,21,21
1984-93002,0,0
2013-52824,21,21
2012-32912,20,18
2012-40378,19,12
2014-43245,18,18
2009-24086,18,13
2011-48455,21,20
2011-02027,18,12
2009-03079,12,12
2014-12811,18,18
2014-02868,19,19
2012-56199,18,12
2014-27658,21,20
2007-52763,20,20
2009-96847,0,0
2013-98464,0,0
2014-16788,19,19
2013-09814,12,12
2013-98547,0,0
2011-97671,0,0
2011-38479,19,10
2013-08760,21,21
2012-97886,18,18
2014-71939,20,20
2014-57013,18,18
2014-34940,20,19
2013-27110,18,15
2014-84179,17,15
2013-68204,18,18
2014-05733,21,21
2013-06434,21,21
2013-22874,15,13
2013-66309,18,18
2011-01202,21,3
2014-72736,19,16
2013-43276,21,21
2014-50972,18,18
2013-07716,21,18
2011-11565,18,18
2014-72372,19,19
2014-35528,18,18
2012-19796,19,19
2014-62852,18,18
2012-97888,18,18
2013-60886,21,15
2011-63073,12,0
2011-71917,19,19
2008-17855,0,0
2011-97503,12,10
2014-42338,20,18
2012-19931,18,15
2014-60211,17,14
2012-53720,19,18
2009-02192,16,7
2014-50296,18,15
2011-53035,17,0
2009-23791,0,0
2012-17040,21,19
2012-27631,18,18
2013-01541,18,15
2014-04009,19,19
2010-12648,12,12
2012-48163,19,19
2014-99114,0,0
2014-09474,19,19
2013-02438,20,20
2010-03986,21,18
2014-98763,19,17
2013-53200,19,17
2006-95788,0,0
2012-20908,21,0
2013-03166,21,19
2012-62171,21,15
2011-19902,20,12
2011-62035,19,18
2013-45421,21,18
2012-07789,19,18
2014-61091,20,20
2012-66480,18,17
2013-98198,15,6
2014-71705,20,20
2011-49153,19,19
2014-33243,18,18
2014-53902,17,17
2013-43088,18,18
2014-53064,21,21
2011-71911,19,0
2012-46677,12,10
2010-35120,16,0
2014-47613,19,19
2014-61797,20,20
2014-98832,15,13
2011-62688,18,12
2013-16914,18,18
2012-18566,18,18
2012-10058,22,5
2004-40270,0,0
2013-06118,21,21
2013-08370,21,18
2012-97889,23,19
2011-62918,19,10
2014-70765,19,16
2008-14071,0,0
2013-30969,18,18
2014-57047,19,19
2014-09235,18,18
2008-01818,16,3
2014-07974,19,19
2003-68080,19,0
2012-38375,19,19
2013-98436,0,0
2012-19615,21,18
2011-01486,21,20
2012-97849,0,0
2012-55117,15,15
2011-42777,19,1
2012-98060,0,0
2013-55847,19,15
2013-98440,0,0
2009-96869,0,0
2012-44510,21,19
2012-32575,21,20
2014-68061,18,18
2013-36222,17,17
2014-15347,19,19
2014-99264,0,0
2005-55028,0,0
2013-04736,20,20
2012-56486,21,21
2006-63199,0,0
2012-40032,19,10
1999-36053,0,0
2014-09407,20,20
2011-23973,19,3
2009-13289,16,0
2014-48572,18,18
2014-99257,0,0
2013-38474,19,19
2012-47692,21,15
2011-32414,15,15
2013-98282,17,17
1988-40634,0,0
2013-26706,21,21
2012-38357,20,14
2011-62614,18,18
2009-96659,19,3
2014-20211,18,18
2012-11576,12,10
2007-50394,19,0
2008-37426,0,0
2013-09629,21,19
2013-08490,20,20
2008-90005,0,0
1984-93046,0,0
2011-32502,19,10
2010-01310,21,20
2014-64969,18,18
2011-18487,20,6
2013-98199,18,18
2012-21621,18,13
2006-35446,0,0
2011-01286,19,17
2012-98188,0,0
2013-98427,15,0
2013-27549,18,0
2012-14440,18,12
2013-29183,18,18
2010-57273,21,9
2012-52133,18,12
2010-19875,20,7
2014-99149,0,0
2009-96552,18,15
2011-97478,18,15
2014-03928,19,16
2011-43162,18,9
2014-99109,0,0
2011-51815,18,18
2010-57072,12,12
2011-47801,18,18
2013-74094,18,18
2011-14846,21,8
2012-06363,19,18
1994-93012,0,0
2014-09260,18,18
2013-02015,18,12
2005-47114,0,0
2011-37086,18,9
2012-10039,23,18
2009-29804,0,0
2014-61798,18,14
2011-48296,21,18
2014-99164,17,17
2014-99203,0,0
2013-47746,18,18
2013-98419,18,18
2012-26657,19,18
2010-06803,19,3
2013-19828,21,19
2010-42856,15,15
2013-30627,18,18
2014-08787,18,18
2012-03161,20,20
2009-19737,0,0
2014-08916,18,17
2011-97324,21,19
2014-09408,18,18
2003-54648,0,0
2014-02414,18,15
2011-36579,20,18
2013-45133,18,18
2010-19876,19,6
2012-18341,18,17
2011-26570,19,17
2011-37464,19,17
2006-95666,0,0
2014-48574,21,21
2012-98038,0,0
2008-45834,0,0
2013-00529,21,16
2012-97793,15,6
2009-81480,18,15
2011-07349,19,15
2010-67381,18,9
2013-68107,20,12
2013-29146,18,18
2002-44436,0,0
2014-72373,18,18
2012-51775,17,17
2014-77354,12,11
2014-99111,0,0
2010-52485,17,12
2013-04662,18,18
2013-06435,17,16
2009-35024,0,0
2014-62408,19,17
2014-45783,18,18
2014-98833,16,14
2012-43988,19,18
2010-28099,18,0
2012-97794,21,21
2014-09426,20,20
2012-27945,19,17
2014-30631,17,15
2013-03562,18,3
2010-17803,18,6
2009-19292,19,3
2013-30629,18,18
2013-17824,21,18
2014-03465,18,18
2013-22390,19,17
2012-98066,0,0
2014-04399,19,18
2013-59925,18,0
2012-30416,20,19
2010-01311,18,0
2012-55229,21,16
2009-41609,16,0
2014-23540,18,18
2009-12535,16,0
2012-35004,19,17
2012-38376,21,15
2008-38017,21,7
2010-43774,18,15
2009-46201,16,0
2013-55200,21,21
2009-23913,18,16
2010-43141,12,11
2008-67906,16,9
2012-34919,21,21
2014-08974,17,16
2011-97691,21,6
2012-38458,21,18
2014-01272,19,19
2008-37667,19,0
2012-50743,21,18
2014-09531,22,22
2012-38466,20,20
2013-28877,21,18
2010-97060,15,3
2013-04695,21,14
2012-44421,17,15
2008-37163,19,0
2005-65731,0,0
2012-97891,21,19
2014-07252,17,17
2014-10080,17,16
2011-22954,24,23
2014-31551,17,17
2011-97450,15,15
2010-41930,16,15
2014-98834,16,16
2014-08198,18,18
2012-19343,21,19
2013-12697,18,0
2011-23975,15,12
2014-58159,17,17
2013-02573,21,18
2012-35005,15,14
2014-62178,19,18
2012-03553,18,18
2013-19723,23,23
2011-22761,18,6
2013-06239,18,15
2014-05808,20,20
2014-78398,19,19
2012-69426,20,20
2012-29880,12,12
2012-97892,18,9
2014-16723,19,19
2014-01749,17,17
2010-60019,16,0
2014-98924,18,0
2010-19877,19,0
2013-02940,21,21
2012-02945,21,21
2014-09022,20,18
2002-39280,0,0
2012-07407,19,8
2008-64369,0,0
2012-18995,19,17
2012-40974,18,9
2013-47328,21,21
2013-15493,18,18
2014-72737,18,18
2014-71896,18,18
2007-65868,0,0
2011-21582,17,9
2013-60309,18,18
2014-98821,18,0
2014-02553,20,20
2014-03227,18,15
2013-08708,20,20
2013-23598,19,17
2014-99146,0,0
2011-48821,18,18
2013-46294,23,23
2013-09975,23,23
1993-47585,0,0
2010-38912,21,17
2010-43728,17,0
2014-77051,22,22
2013-05380,21,21
2013-09972,17,16
2010-42678,12,12
2012-17636,17,15
2012-69923,15,3
2002-67011,0,0
2005-53648,0,0
2012-28678,18,15
2014-09517,20,20
2003-54432,16,0
2012-44462,21,15
2014-26736,21,21
2012-39392,15,14
2011-97519,15,6
2012-52981,18,15
2014-35880,19,19
2014-81809,20,19
2010-33157,19,0
2012-98166,0,0
2011-08757,15,15
2010-15680,12,11
2014-70237,19,16
2012-38129,19,16
2013-30972,20,20
2013-69847,21,21
2013-06976,18,18
2012-57133,19,19
2012-18863,18,18
2013-98200,16,10
2014-63997,18,18
2011-18438,18,6
2011-97505,17,7
2012-18669,15,15
2012-97795,21,20
2008-52531,12,0
2012-59435,18,18
2013-08257,18,18
2014-64384,19,17
2008-34187,0,0
2009-25435,19,0
2012-98006,0,0
2012-64317,18,13
2014-71208,19,19
2005-10795,0,0
2012-61499,18,14
2013-98581,19,18
2014-13101,19,19
2013-01349,15,13
2000-95356,0,0
2006-38509,0,0
2011-31155,12,3
2013-71174,19,15
2014-72335,19,19
2013-50225,18,18
2005-32084,21,12
2013-41373,21,21
2012-19076,18,15
2010-42173,18,18
2014-09270,19,19
2014-08746,19,19
2013-68047,18,18
2014-05810,17,15
2011-97583,0,0
2011-32875,20,9
2014-48597,19,16
2010-43454,19,9
2012-45870,18,12
2009-06358,12,6
2014-05736,19,19
2013-08844,18,18
2014-98960,0,0
2009-45332,13,0
2012-11565,19,19
2010-96895,18,9
2014-60858,12,11
2012-02895,19,19
2011-48272,19,1
2014-72679,19,19
2001-43330,0,0
2011-45793,18,0
2014-55133,19,19
2012-97995,0,0
2012-14746,18,6
2011-55125,18,0
2013-98283,19,17
1972-05092,0,0
2012-62859,19,18
2011-62835,21,16
2014-27500,20,20
2012-14636,19,18
2012-97855,0,0
2012-61108,18,12
2012-15829,19,15
2012-19356,21,21
2008-02342,17,0
2011-19991,21,0
2007-46055,0,0
2012-97982,0,0
2011-17485,21,19
2014-77109,20,19
2012-46086,18,16
2009-19650,16,0
2012-10445,19,13
2013-06535,21,18
2014-71724,19,17
2011-48320,18,18
2011-52277,21,7
2012-35496,18,18
2013-09433,21,18
2014-10677,17,17
2011-48950,12,9
1987-38662,0,0
2014-99074,0,0
2009-96635,0,0
2010-42605,13,3
2012-13501,18,12
2014-45872,20,20
2012-16944,15,15
1983-92675,0,0
2014-30198,20,18
2013-68205,18,18
2014-72505,20,20
2012-06177,19,19
1998-15033,0,0
2011-35916,19,0
2011-28239,19,1
2012-97796,21,20
2008-62633,0,0
2011-03541,16,0
1981-32041,0,0
2012-55150,20,18
2013-69291,18,18
2014-26031,17,17
2014-72417,18,18
2011-48684,19,3
2011-63017,21,7
2014-98835,15,14
2014-23542,18,18
2013-98285,18,18
2012-19856,18,18
2014-08738,17,17
2012-98167,0,0
1993-03481,0,0
1987-31219,0,0
2013-14044,20,20
2013-53975,17,16
2012-51183,18,15
2013-46227,21,21
2009-05799,0,0
2007-19557,0,0
2014-00492,18,18
2014-23543,20,20
2014-98836,16,16
2014-25036,19,19
2003-50275,0,0
2009-21243,19,0
2014-63856,19,16
1999-62450,0,0
2011-27169,19,6
2010-97273,0,0
2012-17233,18,13
2014-28353,19,19
2011-06821,16,0
2011-43366,20,6
2012-41480,17,15
2011-22061,20,10
2007-53735,16,0
2013-62225,23,23
2013-46559,18,18
2011-19526,20,18
2011-62831,21,12
2011-21046,18,0
2013-22840,18,18
2011-43326,17,16
2014-19906,19,19
2011-47752,21,12
2000-47436,0,0
2013-26011,19,19
2012-40248,19,17
2009-60988,15,15
2011-47296,20,20
2013-59928,18,18
2010-57073,18,1
2013-09970,19,17
2013-60054,18,18
2010-28403,16,0
2014-08918,19,19
2014-71270,19,19
2013-58478,20,18
2012-71047,19,18
2012-21436,18,15
2006-18283,19,0
2012-57847,19,18
2008-08760,0,0
2012-40219,12,12
2014-08055,19,17
2011-47935,21,19
2009-30133,19,5
2014-61800,19,19
2013-23829,18,15
2011-27586,20,14
2014-12617,19,19
2011-46449,21,17
2012-39929,20,5
2010-41985,21,18
2009-23763,19,3
2011-13401,15,0
2014-33025,18,16
2013-18353,18,18
2012-98023,0,0
2014-33620,18,18
2014-12632,18,18
2013-15745,21,21
2011-22442,20,19
2014-50978,19,19
2010-41679,21,18
1994-93022,0,0
2014-98837,16,16
2014-47609,19,16
2013-45219,21,21
2004-64415,0,0
2012-37611,18,18
2014-33812,18,18
2007-19578,0,0
2011-62182,19,11
2010-36734,21,14
2008-96321,19,0
2013-98667,18,17
2012-24916,19,16
2001-45435,0,0
2007-65671,12,9
2011-46450,19,0
2013-06555,20,19
2011-22221,20,10
2009-00725,15,12
2012-97797,21,21
2013-60984,21,15
2013-09935,20,18
2009-27053,18,0
2014-21081,18,18
2011-47334,16,3
1996-59513,0,0
2011-63047,15,15
2011-18507,20,9
2010-46880,17,0
2014-50979,20,20
2013-68052,17,17
2005-46803,0,0
2012-20254,18,3
2010-58486,16,3
2008-41403,0,0
2013-43770,18,18
2014-52762,19,19
2006-36535,0,0
2002-66904,0,0
2011-01130,18,18
2013-40497,15,14
2012-27065,18,15
2008-41154,16,0
2011-47410,21,10
2010-97089,19,3
2013-11799,18,18
2014-14708,20,17
2009-28460,19,0
2014-10082,18,18
2013-60780,18,18
2013-98592,0,0
2014-15900,18,18
2013-29053,21,19
2012-24511,19,17
2010-59164,0,0
2011-97510,19,9
2010-73194,21,14
2013-05382,21,21
2013-29506,21,18
2008-01488,15,5
2011-59662,18,12
2010-15151,21,9
2012-50504,18,13
2014-56420,20,14
2013-08231,18,18
2014-98938,0,0
2014-36532,21,21
2014-15707,20,20
2008-08707,19,1
2012-29808,12,12
2007-66501,0,0
1979-41429,0,0
2010-42860,18,4
1993-43264,0,0
2013-05304,18,15
2011-47802,15,6
2011-31590,18,12
2012-97893,18,18
2006-13348,18,18
2012-38378,20,5
2000-95423,0,0
2003-29093,0,0
2008-96322,21,9
2014-19859,18,18
2014-26662,20,20
2013-40713,21,15
2014-01440,20,20
2012-00984,21,20
2013-50952,18,18
2014-00476,19,16
2014-08638,19,17
2012-04619,15,15
2014-25172,19,16
2014-34572,20,20
2013-05135,19,18
1989-37027,0,0
2012-17737,21,18
2010-00234,18,3
2012-04366,21,13
2012-27129,18,15
2005-45611,19,0
2013-35522,20,20
2014-31597,20,19
2012-97894,18,18
2010-29656,20,18
2014-33817,18,18
2012-69922,20,20
2012-57670,12,9
2012-03169,15,13
2010-51340,20,8
2009-19951,0,0
2013-09754,20,11
2014-23155,17,17
2014-26033,20,20
2013-12668,17,17
2011-07869,12,9
2011-72108,19,17
2013-57699,21,21
2014-62844,19,19
2001-45334,0,0
2014-98934,0,0
2010-51777,16,3
2008-69730,17,17
2014-55134,20,20
2012-37229,23,10
2013-22509,18,18
2004-07634,17,0
2012-37217,18,15
2013-11632,20,20
2014-11799,19,19
2008-07234,18,1
2014-21135,21,21
2008-22776,16,0
2014-70590,17,17
2013-35902,18,18
2014-43955,17,16
1995-09498,0,0
2013-39684,18,18
2009-07892,0,0
2010-08881,19,1
2014-09286,18,18
2009-15460,17,0
2013-05809,18,18
2014-56922,19,19
2007-47062,0,0
2014-98724,19,19
2011-97506,18,16
2014-99078,0,0
2014-33024,17,16
2011-03476,17,14
2012-38467,19,18
2010-16341,17,6
2013-68151,18,15
2014-98839,16,16
2011-49105,19,13
2014-21995,20,20
2014-43246,18,15
2014-27415,18,18
2014-12168,20,23
2013-11471,18,15
2006-76632,19,0
2011-46329,18,13
2011-46914,18,11
2013-72449,20,20
2004-67445,18,18
2011-22801,20,14
2010-36180,20,7
2011-46358,19,1
2009-62498,0,0
2014-40309,21,20
2011-62406,19,0
2003-49768,0,0
2010-01257,20,17
2014-43914,17,15
2010-56833,15,15
2011-37943,19,0
2003-55356,0,0
2010-12021,20,3
2014-98980,0,0
2014-60556,18,18
2013-09607,18,18
2005-46446,0,0
2013-04598,20,18
2011-50555,16,0
2014-50757,19,19
2009-19845,17,12
2012-46453,18,18
2013-06913,21,21
2004-68563,0,0
2014-71811,18,18
2012-24512,19,19
2013-09937,21,21
2012-07445,15,14
1981-41083,0,0
2011-19096,24,19
2001-43406,0,0
2014-67689,19,19
2013-98476,0,0
2012-77501,19,17
2009-36233,0,0
2011-42726,20,18
2014-72637,18,18
2012-12948,18,12
2013-41789,18,18
2012-38380,19,17
2013-39501,20,20
2011-25318,20,19
2010-18069,18,3
2011-08699,21,9
2010-16939,21,15
2014-29964,21,19
2014-53654,20,20
2013-06556,19,0
2014-28452,20,19
2014-42007,19,19
2012-37351,20,20
2013-69760,18,18
2014-98840,16,16
2013-48112,23,23
2013-01989,18,18
2012-69547,18,15
2011-64357,18,0
2014-07419,20,20
2013-66709,18,15
2009-17167,19,3
2013-59933,18,18
2012-05484,18,16
2011-30234,20,16
2012-21809,18,12
2010-70053,18,0
2013-26492,17,13
2009-18082,0,0
2010-51890,20,17
1997-23962,0,0
2012-97798,15,0
2012-57714,18,13
2005-44887,0,0
2013-08686,18,18
2013-48312,17,11
2012-14918,17,14
2013-06914,21,18
1999-27349,0,0
2012-27931,19,17
2014-28884,18,18
2011-65702,21,12
1998-42768,0,0
2012-97895,21,21
2007-48673,19,0
2007-55707,18,0
2013-60310,18,18
1989-35152,0,0
2014-36138,20,20
2014-70769,18,18
2013-46799,20,17
2013-10388,18,18
2014-53685,18,18
2011-20883,18,12
2008-37669,0,0
2014-48770,19,19
2012-37403,18,15
2012-37404,15,15
2014-69319,20,20
2014-79200,17,17
2013-41788,20,20
1994-92921,0,0
2013-21959,18,18
2013-98478,0,0
2008-38474,20,19
2013-03932,19,18
2008-96222,18,9
2014-23306,18,15
2010-20476,18,15
2007-62600,21,14
2011-03492,21,9
2014-73732,19,19
2011-51056,21,0
2013-05740,17,16
2012-07050,19,19
2013-42829,18,18
2012-18834,20,15
2010-01375,19,3
2007-02970,0,0
2014-26073,17,17
2014-08758,18,18
2012-18919,20,20
2014-02666,19,17
2005-46995,0,0
2011-48709,21,3
2014-13787,18,18
2012-01211,19,12
2009-55796,18,0
2014-72191,19,19
2013-14708,19,17
2013-98529,0,0
2003-15449,0,0
2008-43383,21,20
2014-71405,18,17
2003-57829,0,0
2011-97692,21,15
2012-55865,21,18
2014-20768,19,16
2009-28497,0,0
2014-70258,18,18
2014-56194,18,18
2012-03337,18,15
2010-24900,21,16
2013-36587,18,15
2014-98817,20,20
2011-62140,18,6
1980-39397,0,0
2008-47017,21,15
2013-71398,18,0
2014-08190,20,20
2012-52499,17,15
2011-49018,19,13
2011-22322,18,17
2007-17678,19,0
2011-37142,19,0
2014-64386,19,19
2014-09240,18,19
2014-09232,18,18
2009-30348,0,0
2014-31859,19,19
2005-46974,19,0
2012-19686,18,18
2012-18311,21,19
2014-98702,20,20
2008-07554,19,15
2009-50479,22,22
2012-52836,18,15
2014-98996,0,0
2011-16815,19,8
2014-14176,18,18
2012-11613,18,15
2013-69494,18,15
2011-97511,19,7
2013-07476,21,20
1990-36305,0,0
2012-02085,21,20
2012-19046,19,19
2013-98543,0,0
2002-96390,0,0
2012-07925,19,15
2013-54793,21,21
2013-57042,18,15
2012-45671,18,18
2012-25661,18,15
2013-25493,20,19
2010-53808,18,18
2013-08246,15,9
2008-56365,21,10
2011-11710,19,19
2014-27664,17,15
2010-58550,15,9
2011-00428,18,18
2012-08059,21,21
2010-39222,15,13
2013-04704,18,18
2002-69249,0,0
2004-68517,0,0
2013-10339,18,18
2014-15622,19,19
2011-32504,18,3
2008-47022,19,6
2011-16505,20,20
2004-65743,17,3
2013-43486,18,18
2013-68206,18,18
2014-29966,18,17
2014-05742,18,18
2011-18408,21,15
1997-02228,0,0
1999-35596,0,0
2009-34845,0,0
2012-34842,20,19
2014-62968,19,19
2010-42885,21,19
1990-91332,0,0
2008-09638,18,0
2010-29658,19,17
2012-59981,21,7
2013-06311,19,17
2012-98190,0,0
2012-25642,19,22
2014-24476,18,18
2013-56969,21,21
2014-35300,20,20
2013-30384,18,12
2014-71864,18,18
2007-62402,20,22
2012-19082,12,9
2014-71955,21,21
2014-41213,17,17
2013-47758,15,13
2011-97456,21,0
2009-29173,15,9
2010-12392,15,12
2012-19200,19,16
2014-72503,19,19
2014-09902,18,18
2014-09664,19,19
2012-29867,18,18
1999-92125,0,0
2014-71956,19,18
2013-00591,21,21
2005-44675,0,0
2010-42249,21,6
2012-29811,12,6
2008-51483,20,8
2012-07339,19,17
2014-45811,20,20
2014-57075,17,15
2013-98286,18,18
2011-11824,18,12
2012-38917,21,18
2013-07243,21,19
1989-35357,0,0
2009-27001,18,18
2012-35905,20,20
2012-07605,18,9
2012-02457,21,19
2011-48822,18,3
2004-46705,0,0
2012-97896,18,15
2011-15723,19,12
2011-10446,18,4
2011-97746,0,0
2014-78593,19,17
2009-19882,19,6
2013-62584,15,15
2013-98287,21,18
2014-71631,21,21
2013-98475,0,0
2011-28139,18,3
2012-04566,21,20
2014-63167,17,17
2010-45492,16,3
2010-69629,12,12
2011-05106,12,11
2013-22992,18,18
2012-13164,21,12
2013-06739,21,19
2013-47052,20,20
2014-77811,19,17
2014-01961,22,0
2008-19011,0,0
2013-60503,18,18
2013-52045,20,19
2012-54278,20,12
2010-61060,19,6
2014-98976,0,0
2011-97705,0,0
2012-19616,19,17
2009-23239,20,19
2012-97878,0,0
2008-20064,19,1
2010-36644,18,6
2010-19883,18,1
2012-37796,18,17
2014-62692,18,18
2008-36915,21,15
2013-31794,20,20
2012-45048,18,18
2013-00260,18,18
2011-22635,15,10
2013-67725,21,18
2014-15664,20,20
2011-43476,20,7
2013-18601,18,18
2013-08840,21,21
2013-98289,18,18
2013-52624,17,10
2007-55709,15,3
1999-45342,0,0
2012-37620,18,18
2012-63098,18,12
2012-64316,15,15
2013-60337,18,18
2005-42854,0,0
2014-11780,18,15
2014-26904,20,20
2013-56437,18,18
2014-99239,0,0
2009-47765,20,8
2011-57099,19,0
2014-84036,18,18
2014-39386,20,20
2014-26745,17,17
1999-30946,0,0
2008-58168,0,0
2014-28520,20,19
2013-07207,21,21
2011-59312,21,20
2014-53590,19,19
2014-43147,18,18
2011-60843,19,0
2012-34911,20,17
2014-78551,18,18
2014-73343,20,20
2013-03278,15,15
2010-19791,18,0
2013-06821,18,18
2014-71271,19,17
2012-44284,18,13
2014-48575,19,18
2000-61821,18,0
2007-19186,12,9
2011-63080,21,0
2012-97799,15,6
2014-24161,18,18
2004-66026,0,0
2005-48418,0,0
2004-67480,0,0
2009-60894,19,0
2011-18428,13,0
2013-40828,20,18
2010-02050,18,18
2014-29005,19,19
2008-09455,0,0
2013-07708,23,23
2013-18370,18,18
2010-26030,19,8
2014-73888,18,18
2014-33131,19,19
2014-77808,17,17
2011-22159,18,12
2009-18211,18,18
2013-20759,18,12
2013-51763,18,12
2013-98477,0,0
2005-32829,0,0
2013-45523,18,18
2013-57557,19,17
2012-03176,23,18
2014-98936,0,0
2013-20028,20,20
2010-21373,21,21
2011-52531,19,19
2013-75794,18,18
2014-08144,18,18
2007-59421,0,0
2014-27417,17,16
2013-11045,21,21
2014-12929,18,18
2012-54012,19,19
2008-08352,0,0
2013-06973,18,18
1999-62257,0,0
2011-43172,19,19
2011-21386,18,13
2012-98106,0,0
2011-97563,15,4
2012-76362,18,18
2003-50724,0,0
2004-61209,0,0
2011-97433,0,0
2012-07975,21,20
2014-35219,18,18
2012-30483,21,16
2014-71572,20,20
2014-43787,19,19
2012-00556,18,18
1989-94934,0,0
2014-51064,19,19
2013-26907,12,9
2009-28498,0,0
2012-51984,15,14
2013-18735,15,15
2014-98731,18,18
2010-11190,16,3
2009-11634,0,0
2014-33132,18,16
2011-47171,21,15
2012-66257,23,10
2010-52745,21,21
2011-31689,19,18
2009-05230,19,7
2014-08160,20,20
2014-74330,17,17
2013-98532,0,0
2012-22430,18,18
2007-28093,18,13
2012-39394,20,18
2014-61730,19,19
2013-00535,17,17
2010-42242,18,7
2012-48614,21,19
2014-65698,19,19
2010-48528,19,0
