stdno,allowedunits,currentunitsenlisted
2010-03212,18,0
2009-00491,16,0
2009-48364,16,3
2008-65282,18,0
2009-17985,19,4
2007-51867,18,7
2012-37399,18,18
2008-40124,16,0
2011-43348,19,5
2009-44733,18,0
2009-51928,16,3
2010-51289,12,0
2010-18225,17,6
2011-27573,17,0
2011-27541,17,7
2011-49368,19,9
2010-18226,19,0
2010-50005,19,5
2010-68983,19,3
2008-46570,20,7
2006-01191,16,3
2011-14911,16,0
2011-97539,18,0
2010-19851,16,0
2011-48732,19,6
2010-49358,19,3
2008-35029,17,0
2010-00424,19,3
2010-19288,16,0
2010-48814,16,9
2011-49996,19,15
2011-11006,17,0
2011-12720,19,13
2005-44403,21,3
2011-11893,12,0
2011-20391,16,3
2009-62065,18,3
2011-49545,16,9
2009-00203,19,0
2010-38530,18,10
2010-28719,18,4
2008-35856,18,0
2011-00921,17,0
2010-29759,20,6
2009-10597,18,0
2011-24062,16,0
2010-06139,19,4
2011-27591,12,0
2010-21619,19,0
2011-48677,18,0
2008-07138,17,0
2008-20495,19,0
2009-07364,16,3
2012-97833,15,3
2008-07043,19,0
2009-62995,19,3
2009-68101,13,0
2010-08161,19,3
2011-20611,20,14
2011-09453,18,15
2008-11185,17,0
2011-20975,18,3
2009-24493,18,9
2010-28424,16,0
2005-45722,15,0
2008-68341,19,0
2012-97835,15,0
2009-63436,19,0
2010-57229,19,3
2010-47075,18,0
2009-20990,18,0
2010-41717,18,1
2011-49125,18,9
2011-50584,18,3
2011-00373,16,0
2011-48853,19,5
2009-60110,18,1
2006-40683,19,0
2010-17317,17,0
2010-39219,19,0
2010-10547,17,4
2010-42238,18,1
2009-17426,19,4
2006-35857,18,10
2010-42643,18,4
2010-30691,16,3
2011-45055,16,0
2007-55607,16,0
2007-16391,19,3
2009-51691,19,0
2008-36425,10,3
2009-62494,18,6
2010-97037,19,0
2008-38788,15,3
2011-46923,19,3
2008-38530,18,4
2011-63020,22,10
2010-13688,19,0
2011-12501,19,4
2006-26308,17,0
2011-28447,18,0
2009-56718,13,0
2010-61063,17,0
2009-04386,17,0
2009-26337,16,0
2011-51570,16,0
2008-37021,19,1
