stdno,allowedunits,currentunitsenlisted
3357-72881,18,1
9407-93925,18,6
4331-02207,19,3
8173-69570,19,0
4086-39411,18,3
6658-62266,19,4
1709-43730,18,6
9728-43039,19,3
3471-92847,19,0
5755-18583,13,0
5342-44142,18,6
2686-78818,15,3
3968-87772,18,4
9242-27791,16,3
0751-51995,15,3
4537-82362,16,9
2545-02539,16,3
3517-23673,18,1
5507-82760,17,6
4687-97731,19,3
7526-92405,18,4
6210-51321,18,3
1922-89246,19,3
3841-83819,16,5
7930-34712,18,0
9916-10118,18,0
1928-58407,19,4
4172-77248,19,3
6179-17858,18,3
3379-12021,19,3
5823-36241,18,1
9036-14928,19,12
2370-94111,17,4
5710-63327,17,7
7149-99045,18,9
0611-18649,18,0
6094-07233,16,3
8533-18643,19,0
8913-50132,19,0
9229-69687,16,3
8345-03476,17,0
2655-10223,19,3
7342-94868,17,3
7167-28848,18,3
4866-71557,17,6
3338-21249,19,0
0850-84706,18,1
1292-40400,16,3
7211-66973,16,0
9974-93352,19,4
1661-60332,16,3
8828-52433,19,3
1659-83528,18,1
4046-16851,19,3
8044-29689,10,0
2584-47075,19,0
0255-21594,19,1
5599-05688,16,4
4448-53988,19,0
6396-28602,19,0
8424-99777,19,0
6294-78413,10,0
8043-52340,16,0
1690-19995,18,4
3563-97123,19,0
8428-22922,18,1
7644-06090,16,3
8270-23984,19,3
9173-02812,20,6
5753-09018,16,9
1138-77150,17,0
4280-26724,16,3
4565-90129,15,0
6169-87585,16,3
3171-49167,17,3
9832-23019,17,3
6810-70388,19,3
9996-42161,16,3
2927-53381,16,3
9194-96020,19,3
7736-28399,18,12
3011-68917,19,12
2673-85077,18,10
0602-39623,19,0
0267-13724,19,0
7428-90625,17,6
1667-41556,18,3
0887-61305,18,4
7337-19257,19,6
5909-71440,16,6
0827-28704,16,6
3063-30216,17,3
3651-11639,17,3
8759-49067,19,3
9257-53639,12,12
7923-33714,18,4
0298-27340,18,1
9596-88246,18,1
1208-80389,19,0
6696-97803,18,1
0710-43813,18,0
5511-45528,16,6
2801-52114,18,3
8115-41610,17,0
9512-81150,18,4
5323-84266,18,7
4361-85947,16,12
1943-28034,18,1
2525-44380,18,1
9832-92142,19,3
0758-93226,18,4
1532-53091,16,6
9873-92297,16,3
3738-04780,18,0
8733-17620,19,0
9171-68830,18,1
9272-61754,18,1
9972-97136,16,3
0007-36500,22,16
2525-60152,17,3
2145-10225,21,12
9956-33279,18,0
8752-28665,21,15
1292-34282,16,9
6571-10429,18,0
2701-53818,16,3
0056-15094,16,15
3716-96142,19,3
8903-03171,19,11
3540-26677,12,12
8925-91888,19,6
1003-34012,16,3
0474-88618,18,1
1310-77298,19,0
2000-07218,19,0
2560-63939,19,9
0961-90251,18,15
8479-79050,18,3
0107-86593,16,3
9011-42088,17,3
1979-29045,18,1
5953-26824,18,1
0833-22453,19,0
4853-80663,15,3
1898-69137,18,1
7728-62714,19,3
3233-92908,15,3
4091-55247,17,6
1439-42370,16,6
7283-64238,16,3
8962-36957,18,1
6374-30176,16,0
4207-40584,17,0
0546-11646,19,3
2866-43339,18,0
5708-15092,19,1
1812-10505,19,0
1587-29531,15,3
3075-85665,13,6
1463-49067,16,0
8657-46398,16,3
7542-90655,17,0
9491-18945,12,12
9441-90668,12,12
8272-04127,17,14
2085-98360,19,3
2380-82961,17,9
9401-25912,12,12
8735-85794,16,0
8428-91049,21,16
2575-83107,16,0
2474-28976,18,15
8605-87458,17,3
5411-43033,17,3
5222-70604,19,7
4687-97864,12,12
6631-97394,19,4
8076-27274,19,10
0909-23117,18,0
6632-58611,16,0
2073-08850,15,0
8785-81400,16,0
4982-48083,15,3
0344-35484,16,6
6351-92085,16,6
5056-70156,20,17
6093-66351,16,0
4167-83357,18,6
1159-46837,24,15
6263-17436,13,2
9840-86690,17,3
4810-16429,18,3
0938-73409,12,3
9910-75188,18,11
8726-63373,16,0
5219-53918,19,7
7742-03282,15,9
5634-18165,17,3
8453-70176,21,12
3483-18841,18,9
5644-12855,12,12
5171-98102,17,10
7210-04985,17,0
9477-94524,12,12
2512-23678,18,0
2295-47020,16,3
0405-16752,19,13
7914-32100,19,0
4649-42903,18,0
7596-78360,18,0
1122-95673,18,11
6883-29783,18,0
8064-69454,13,2
8489-89536,16,7
6172-43201,19,5
8766-57354,15,0
2308-31371,19,10
2558-47032,16,3
8560-94948,18,18
2206-87503,17,6
1481-64365,19,0
3424-04716,16,6
0502-56877,17,3
8442-29874,19,3
7135-99204,18,18
6896-26045,16,0
0347-59525,21,22
4209-95365,19,6
0990-35869,19,7
5007-26886,16,0
4425-18272,15,3
4362-57409,15,6
6762-07027,18,0
9093-95253,21,6
6050-14516,19,9
4408-41254,19,8
0965-93827,18,9
4527-41314,19,9
5682-47053,16,10
3154-57006,19,15
8433-28113,18,3
8405-22884,12,12
6352-28085,19,3
2348-53623,16,0
8218-96506,16,12
9359-08238,18,3
8371-67519,18,0
5963-14961,16,0
9526-30418,20,17
9016-52362,12,12
9241-01343,17,9
3679-44882,19,3
9343-75973,18,0
6185-04014,18,3
9972-64380,18,0
1348-28384,22,13
1767-68485,21,9
8001-44231,18,9
8501-02710,18,3
8246-60704,16,0
4841-38141,19,3
3801-75405,18,6
6662-69811,18,0
2562-79303,15,4
6367-60787,21,12
7543-20946,21,8
7751-12501,21,21
4653-06782,18,18
7265-70293,18,18
3161-82179,15,6
3113-87339,15,0
9205-64106,15,0
1046-89259,15,0
9263-77464,15,4
0539-17895,15,3
8577-87997,15,0
1421-26146,18,18
2664-99316,18,17
3264-36132,17,16
7817-65464,18,18
7830-55362,18,18
5447-17415,15,0
6909-18845,22,0
7329-25288,18,18
7743-34609,22,3
1007-86454,20,19
7690-58832,17,17
6244-61957,22,6
8421-24669,18,18
1313-07995,21,21
9510-73891,18,17
1694-39855,19,13
7942-79659,17,0
8057-27458,18,13
5288-11301,15,7
0111-62352,18,0
6798-69532,21,0
8780-44908,19,0
2733-20154,21,9
3543-27884,19,9
5970-08646,21,19
6574-96218,19,0
4326-32703,21,8
4629-18470,21,6
8086-35270,18,0
9856-14713,19,4
9235-89382,20,20
2602-92126,17,12
4543-30316,19,3
5939-11246,18,16
4010-80194,16,4
5527-81050,19,18
5042-78521,20,12
1383-70295,21,22
3516-63543,18,15
3704-44490,24,3
0352-59268,19,0
8141-99449,18,18
7710-37793,19,3
1044-07013,19,0
4649-74857,19,0
2230-07533,18,15
6458-87707,20,14
6150-14501,20,6
1178-55341,21,12
8718-06752,21,13
4042-65677,20,10
5626-42283,19,3
9942-29805,18,9
4483-47491,18,3
3121-64791,21,19
6788-49797,16,3
0692-09273,16,0
6490-46835,20,15
5138-76814,21,21
3405-39782,20,9
7182-82102,20,14
5928-98330,21,11
8615-41701,18,15
5486-42799,19,13
6257-88413,21,10
7454-16382,21,6
4450-15237,19,10
2185-33565,21,15
1730-34615,17,6
7818-49976,17,6
7509-09174,19,18
3339-97567,15,9
0138-81130,21,13
8006-08593,15,3
3821-42600,17,6
4245-34703,16,6
0785-03014,19,0
4600-23757,18,19
4409-16037,19,12
2794-08412,21,3
8103-24489,20,12
9356-32541,18,0
7736-89114,21,14
3433-10414,19,17
4420-51911,21,20
6256-87059,20,11
9894-83291,19,3
8294-57783,18,6
0372-63371,19,6
1309-33611,19,0
5052-63310,18,18
4957-33392,16,1
0298-58719,19,0
0383-81170,16,4
8160-42572,21,16
9120-23093,19,6
1070-07339,18,3
4578-41944,19,3
6638-43055,16,3
2970-87681,19,9
0713-54509,18,15
6838-15492,21,22
5287-49200,19,6
1629-26047,19,3
5872-26442,18,12
0589-34352,18,3
5450-53622,19,6
5716-69122,21,16
1065-29280,21,6
3702-09770,18,18
8503-88320,20,10
9659-27838,19,3
9770-50579,18,3
8323-88210,19,6
6628-71086,18,15
0153-02866,19,0
3427-76786,18,17
2090-03615,19,6
8535-10351,21,18
3441-53479,18,9
7150-95380,20,14
4856-48814,18,12
9394-08066,21,3
0258-13883,18,5
1229-76468,21,12
8016-59944,19,14
2278-47990,18,19
8721-40295,18,9
4977-68918,21,9
8461-66298,21,4
4458-97784,18,19
2048-55588,19,6
5496-59550,21,15
5223-33367,19,6
9891-67659,18,0
1440-63845,21,15
2657-27513,21,12
0812-72587,19,15
9709-91489,19,6
8998-25824,21,9
1277-65695,17,6
7935-74917,21,11
6424-54399,17,6
6379-26585,20,20
2104-55422,21,14
7408-34420,19,9
5602-37388,18,12
0742-30468,16,11
8211-36522,21,12
8576-47213,21,17
3617-88323,20,18
8344-51541,20,17
5919-80544,20,9
9777-01384,21,18
0357-67066,19,6
8864-58815,21,21
8536-78660,21,9
9173-19802,21,9
3813-62822,21,16
3424-17126,20,15
5532-30221,21,12
0016-24587,21,20
1336-91185,18,17
7767-35452,19,3
2851-28662,16,9
5340-56909,19,3
2158-62964,18,0
2035-43674,16,9
8649-94217,21,0
4726-03316,13,3
5061-38194,17,3
1359-08579,18,12
7374-31007,19,12
5201-14119,20,3
5861-06796,21,17
4754-44676,19,7
7925-48393,21,0
0222-75832,21,11
5381-21857,18,18
1384-86284,19,3
0258-31211,21,0
1232-20885,18,7
7069-88286,19,0
0587-40720,18,16
2573-36270,16,3
8102-16851,19,6
7320-70671,20,3
0203-51914,20,3
0921-88208,19,3
7698-67116,19,3
6096-51794,18,17
1063-93958,20,3
4747-15189,18,11
3293-33472,17,12
4313-55107,18,0
1105-49920,21,3
0637-16045,20,3
7009-02556,16,3
8913-13823,21,4
7941-27914,19,3
7662-16150,16,15
6076-12349,18,7
8050-85788,21,18
5576-84959,18,5
1789-60103,21,14
4074-89749,20,9
6183-79885,20,12
9377-56194,21,16
4054-10644,20,3
3776-10568,13,3
5533-22156,19,6
2619-98875,16,7
0631-83521,19,6
2289-31245,16,15
3068-42138,16,6
2887-86731,18,18
9512-63958,19,3
6635-58619,19,15
0010-74836,21,16
9506-33260,20,12
6093-98174,19,10
9698-77384,21,3
9767-35766,21,22
7097-32163,21,15
8144-88737,18,3
6827-44609,16,4
9071-87678,21,9
7189-52361,19,4
9001-28646,20,10
1688-55324,16,6
2200-70504,17,3
6756-17781,20,15
1132-34337,19,6
8650-73200,18,18
4503-28544,20,20
7186-31372,19,3
6711-71316,18,6
0521-11368,21,15
5341-39686,19,9
7802-64069,19,0
6707-78173,21,6
2740-36667,16,1
6083-63794,19,1
2543-86521,19,15
2582-94687,19,1
0991-94681,18,3
0639-83431,18,18
4446-41832,21,15
8177-76976,21,6
7034-11561,19,12
8722-92570,20,20
3015-17075,16,3
8481-57219,18,15
8274-03196,21,9
8144-58234,17,0
4201-60216,19,3
1817-47648,21,7
2555-12529,21,10
5271-99000,19,16
5380-79631,21,16
7478-91180,19,0
2989-70754,20,20
3985-89150,21,11
7740-73471,19,0
5747-27806,21,21
2765-21342,16,12
6297-17802,19,6
6694-41293,18,18
9049-33410,18,6
4267-39119,20,3
7962-02605,16,9
9713-38239,18,3
8245-05863,21,13
0784-63629,16,4
5883-16176,18,6
9094-09537,17,18
3612-90008,19,4
3871-24618,21,7
2395-47873,18,15
8818-65851,19,0
4266-45271,16,0
1104-29255,20,3
7755-61520,19,0
4280-96377,19,0
9333-96547,18,19
8322-05804,16,12
6276-29820,21,0
4738-80935,19,4
7657-17653,19,12
7846-47576,19,5
9400-43584,17,17
4173-19787,21,19
2258-56886,18,9
1813-24717,21,16
0135-48484,21,22
6278-31200,19,3
7434-10317,21,0
7625-31099,19,6
4146-72182,19,0
8958-16887,19,4
8421-74142,19,0
8384-07198,21,15
7407-21152,18,12
5407-85473,21,12
7874-26950,20,16
7097-44440,21,10
2776-43136,16,7
7353-33630,21,20
6108-96135,20,13
6921-72020,15,0
1958-05985,18,17
7937-64169,16,0
6126-53810,20,18
0142-18396,12,3
3631-40082,19,1
6126-16814,21,9
4273-07168,19,0
0119-40532,18,6
7996-42624,19,8
5850-74088,21,13
0870-45793,19,8
3684-91082,18,12
4883-39863,18,18
4598-81329,19,0
4213-79574,18,13
5732-45428,19,12
8680-00761,21,15
5047-91665,18,18
6324-51531,17,15
4748-60669,21,12
2154-43416,20,14
9283-99773,16,4
4393-13922,19,0
9762-31040,20,20
5032-81931,21,12
9664-17175,16,9
1162-16754,21,20
8835-71124,16,10
8095-54402,17,3
0103-59296,18,15
5952-90831,19,4
2735-30806,19,15
3271-19871,16,1
2406-13498,19,12
1410-61932,17,9
9598-51368,19,0
3617-84314,17,15
3410-36470,20,20
1900-05452,18,15
7416-20554,18,12
1142-42404,18,6
8942-77547,20,3
1744-96016,19,4
3677-95949,19,6
3499-60153,21,15
8263-36777,21,6
0528-76327,18,18
9361-02990,20,8
4929-40045,20,20
0098-17501,16,0
5186-54457,17,3
4521-15666,19,16
5536-57258,18,18
3782-63472,18,18
7151-66585,19,1
1460-03452,20,18
3918-93049,17,6
9788-31488,21,0
7384-13697,18,19
1876-33726,18,9
4305-47176,21,10
9690-95776,18,0
9515-59639,19,3
6386-98799,21,19
7046-43936,21,18
2737-95808,17,3
3316-18192,18,15
3628-92527,16,7
7475-70921,18,4
5919-43018,21,4
0911-74743,19,6
7540-29830,20,20
5986-87659,21,6
4091-50855,19,4
1828-00023,20,16
5175-47737,19,19
9470-51833,20,3
0214-10483,18,6
5725-16631,19,13
9718-64729,21,11
0825-55862,18,6
5786-49261,16,1
4271-48173,21,20
9869-34492,16,0
0273-11551,17,12
4278-89126,19,6
3929-31855,21,14
7275-93591,18,18
6500-28789,19,0
9090-28827,17,3
1325-57026,19,12
9222-28798,18,4
0059-94824,18,14
1626-05389,19,9
2764-43364,13,0
6342-95547,21,14
5106-63607,16,4
3266-32869,19,20
4407-34314,20,18
0264-87988,19,6
5208-17326,17,9
1397-21656,17,9
9637-55788,17,6
4867-21229,19,8
4543-77669,18,18
0161-48392,18,0
9180-35491,17,6
0054-04221,18,3
2165-90692,19,0
2022-21145,19,3
1512-22908,16,3
9137-41518,18,15
4920-46820,18,0
9395-68328,18,11
5824-40337,17,8
9384-45615,20,17
2577-34283,19,4
5702-99427,18,8
3690-97027,18,9
1504-02338,18,9
8212-62118,20,20
2558-87881,19,9
2965-30758,19,6
8520-75802,20,9
9126-19147,17,9
1300-94220,18,9
1453-19118,20,0
6057-42909,19,8
3154-19519,19,11
3031-25299,17,6
8992-90416,20,0
5057-08354,21,22
8870-10354,18,15
6342-38908,16,0
7844-56123,18,6
5278-33926,18,3
5781-36044,19,3
1864-46243,21,16
1751-87366,16,3
3384-22540,20,13
1355-97622,21,21
7172-08191,19,8
1346-12814,21,16
3149-28372,20,9
0060-37982,17,3
6960-89452,19,6
4024-64131,19,10
6689-53427,21,6
7370-35329,21,15
2103-44048,19,0
1110-56990,21,12
8807-66631,21,18
0223-56504,20,9
3218-15310,20,19
9101-94801,18,18
9756-66332,17,9
1689-01364,18,18
9283-53112,18,0
0051-10937,20,3
1489-04561,21,16
2365-58110,21,13
7990-66332,18,19
9282-64900,20,20
9476-56202,20,15
8745-51929,19,18
8783-26582,19,0
0450-20626,19,4
1981-23879,16,0
0765-34452,18,15
1499-69449,19,9
1694-29128,19,0
5006-42305,19,3
8140-19653,19,6
5578-00130,20,9
8568-41791,18,13
1127-33110,21,15
3120-96634,19,0
2082-03260,18,18
2826-30633,21,9
4308-09488,18,9
0457-76371,16,0
3175-39014,18,17
6014-81070,19,12
3852-04919,19,0
5251-51569,20,14
9237-02451,18,7
6563-32399,18,9
7368-14897,20,18
6352-19217,19,0
4580-18282,18,3
6817-99706,19,0
7182-69375,19,0
6927-86493,21,13
4373-73719,13,6
1722-96733,21,12
5604-43162,18,0
0910-34215,20,18
6893-46493,19,0
5730-80108,21,9
2757-82764,21,21
4436-40058,18,18
7752-38013,21,20
4686-38776,18,15
8113-81215,18,12
0459-73346,18,13
5776-50320,18,6
6778-73436,21,10
6961-01913,19,1
7964-05881,19,0
2805-25198,12,6
9017-67740,15,6
1923-83540,19,0
1999-07298,21,9
3928-96724,19,20
8760-78283,18,0
2142-66014,19,0
6788-18765,13,6
8028-42677,19,3
1544-74598,21,21
8057-88913,18,12
4837-37717,19,13
2232-15420,17,11
8711-31903,19,0
5514-60264,18,18
3129-76796,21,22
0607-23481,18,0
2911-19572,19,15
9060-32088,17,15
2292-35665,20,17
7801-42679,20,16
4513-42328,21,19
3141-51114,19,0
1372-72398,21,14
4130-29870,19,12
2355-89180,18,18
3817-50322,19,9
0631-03106,18,3
9627-29440,21,17
5046-97413,19,13
9520-90211,17,15
8623-79969,19,0
7941-05090,18,3
0028-60179,18,18
4042-44281,19,0
1099-06860,16,9
9152-55023,18,12
4955-27788,16,1
1886-75043,17,6
5928-46391,20,17
3078-90610,20,9
0520-03795,18,18
2163-66031,22,22
8730-81125,18,12
5633-42371,19,15
2284-14903,18,1
8940-94081,19,12
7543-12853,18,18
6008-53359,20,10
3731-65238,20,13
4807-32792,21,12
7200-11118,19,13
6524-74538,19,6
1306-29089,21,19
3338-71016,18,0
9999-31969,21,3
6142-72313,18,9
0713-79643,18,6
4560-06891,18,4
9428-42343,19,5
7179-64036,21,19
9234-35458,19,19
7718-74685,19,4
4952-67745,18,3
5769-96286,16,16
7640-24973,19,18
7105-79092,20,9
0429-66379,19,3
6183-49406,20,17
9893-97514,20,20
0655-28924,19,14
8368-23439,20,13
7674-88850,16,0
7692-46481,19,3
8775-83755,21,15
0266-34602,21,9
0209-61228,20,6
8254-32796,18,3
0483-44097,19,16
5634-59173,16,13
0473-13476,16,3
3544-79825,21,15
8241-74568,19,0
5057-74007,19,9
4867-12576,20,18
6965-08130,18,18
4261-33933,18,9
8245-91213,16,4
3567-78185,20,3
0469-56910,18,16
6005-43439,17,15
0779-74480,19,3
6199-73987,21,13
5933-59399,18,18
2160-27081,19,3
9023-29958,20,12
1517-71124,19,1
8653-47925,18,18
1508-58073,21,14
9990-83503,21,21
8331-07919,20,17
7833-42408,18,19
5043-44781,20,8
1311-49612,19,13
6679-96200,18,12
8272-84439,20,16
8980-73485,17,6
6152-18819,18,18
6081-98584,19,10
3053-23866,21,11
2059-10206,19,0
5011-78934,18,16
9729-46759,17,18
7100-73342,20,12
3940-38014,21,18
9745-15876,19,12
8346-47225,21,7
7761-40822,21,9
1695-42421,17,12
6389-07436,21,12
1656-91000,21,18
3917-22207,17,9
8935-02352,19,0
5288-62456,18,18
6685-32422,20,18
7330-48945,21,17
0867-76081,20,16
9530-02196,18,3
9415-39011,18,18
9032-20566,20,9
7558-34123,20,7
2281-73451,19,6
2528-25566,22,17
0952-83229,16,15
2440-24508,20,18
1079-46595,20,19
6681-29297,16,0
0075-90519,18,0
9708-75227,19,0
2376-02090,19,13
0637-80296,20,20
9429-25983,19,0
6910-15069,21,3
1069-22947,18,6
9648-79490,17,3
4389-46834,19,3
5129-95090,20,6
1663-20280,18,9
2964-21710,18,18
9149-60569,21,15
8052-91247,19,15
5284-23940,20,18
1168-53719,21,21
1426-72701,20,20
0225-11614,21,10
6181-15897,19,5
7425-45730,18,12
8288-79905,21,22
9558-82175,18,3
4895-62401,19,13
2288-28897,18,18
6615-14134,21,18
9665-82230,19,9
5641-87164,17,18
8937-79681,20,18
6090-61414,18,17
9457-29440,18,6
2334-19695,21,21
5753-94717,19,12
3362-96300,21,21
3586-74323,18,0
8749-02505,19,11
0573-05360,20,12
4151-89314,19,19
0843-56647,17,3
4630-19405,21,19
3630-31844,19,6
3367-61198,19,7
7082-76556,20,3
0399-59978,18,18
1252-87920,20,17
6972-40464,19,11
8576-41140,18,3
8739-71099,21,3
7060-89493,19,9
1352-31245,17,18
5909-38439,21,7
8851-54393,20,18
9742-45738,19,20
9192-58220,16,6
6856-82556,21,20
3426-09837,18,18
9903-25054,18,0
2307-85762,21,16
8163-31568,18,6
1911-34728,18,6
4352-00690,19,6
9613-86981,21,18
8894-43740,19,12
7520-92260,16,10
3834-58581,19,9
4963-44262,18,9
5878-05278,19,15
8176-53736,18,6
5443-38415,21,3
1747-62081,20,13
5178-52286,21,18
1445-83744,18,18
5223-95624,18,9
3945-48036,18,18
4027-23859,21,22
8692-00197,19,16
7681-37208,18,15
6627-62544,21,0
1712-36529,21,10
8586-89641,20,14
7377-16958,19,9
2173-99278,21,20
3015-60930,21,21
9413-12389,19,11
6237-84344,20,10
2214-81316,21,18
0610-23183,21,10
1243-97025,19,15
5739-15705,20,6
9778-88620,21,10
7209-11534,19,18
6979-91057,21,20
5167-47129,21,12
3298-03448,18,18
1009-60690,19,15
4686-18082,19,3
2370-46345,19,1
3443-98727,15,9
2574-45832,21,13
0161-17625,20,20
0414-88426,20,12
1064-46482,20,18
1579-27494,21,21
2667-46079,18,3
8103-53899,21,18
2398-69153,19,17
5074-98652,15,12
4692-25589,19,10
7085-03437,21,9
1084-76862,18,12
5854-10644,18,18
2964-27473,16,6
1108-35132,19,0
6596-36300,19,0
5961-64083,21,0
7894-83975,18,15
4671-62470,21,18
8988-28258,20,5
7503-63144,18,6
0215-83792,19,6
7637-60787,21,16
8696-70809,18,15
0388-52850,21,15
4112-82819,18,18
7893-28849,21,16
6617-46385,20,13
3898-30142,19,6
7831-03854,19,9
9870-11455,21,9
8919-77100,19,7
9390-55989,16,7
3708-71758,21,11
1671-70822,19,4
7556-33484,20,9
3947-09698,21,21
4478-80032,16,12
7751-52149,21,18
7225-04578,19,6
0694-51601,21,6
4173-82364,18,18
7312-03939,19,0
7961-33758,13,3
0189-96686,22,15
2964-49968,19,17
5889-90946,20,18
9596-34088,20,13
3605-55748,21,22
8144-98542,17,6
6694-91900,13,0
0767-87496,19,0
0003-71429,21,0
0354-27310,18,18
9595-24353,19,1
5917-16779,21,13
7827-54032,16,4
6673-56028,18,10
5338-04434,18,3
8949-88863,21,19
7916-96869,20,9
3821-22480,20,12
3491-96632,18,3
0267-08296,19,5
5472-27566,21,6
6017-09554,19,0
8981-92938,18,3
6339-98510,17,3
1137-79626,21,22
8342-86369,19,0
3695-18607,20,20
1940-84634,21,9
8028-73643,21,12
4708-29372,19,3
9581-67797,23,21
9074-20668,20,10
7641-53319,16,0
4475-96104,19,5
9161-03667,19,12
5974-67149,16,1
1447-75403,21,17
5753-64587,21,6
2871-13911,19,6
6591-93170,19,10
1259-58866,18,3
4127-85216,16,0
0796-63667,19,11
9828-80320,19,6
8152-65030,21,15
7810-62251,16,13
9623-17444,18,12
6341-34275,20,18
3973-31689,20,15
2826-97012,19,9
9069-19112,19,17
2054-48804,19,0
8967-03542,21,10
1235-09261,20,14
3530-00671,20,18
8543-18170,18,3
6922-13989,19,15
4338-17081,19,3
6229-26332,20,13
6171-65122,20,6
0731-69094,19,13
6828-82604,19,0
4446-51969,20,6
1642-84016,19,8
2029-41370,19,6
0934-11308,18,9
0327-68358,18,18
8129-81331,21,12
5613-94488,21,0
9193-22560,18,9
6747-96035,17,3
2831-00378,20,11
1810-42740,16,3
9238-27992,21,10
8375-66219,18,13
6568-90441,19,11
4729-89351,20,3
0630-98492,21,20
1595-18525,13,0
2531-38712,18,7
1284-56097,16,15
7100-42680,19,10
4910-30450,20,15
2669-03194,17,12
7520-47920,19,6
7878-88406,22,16
0039-35975,21,7
1280-67062,21,15
6726-91001,18,6
6964-45269,21,16
0271-95254,20,0
7257-93367,19,6
6193-90052,18,12
9616-06721,17,17
7161-75592,19,4
7902-77549,19,6
8554-94285,19,10
7398-80824,17,9
8624-79656,17,18
3167-37783,16,13
4242-45631,19,0
3004-30530,19,18
7996-37780,21,21
0879-03012,19,15
7993-90769,18,3
9260-55016,20,14
7401-52685,18,18
4737-73956,21,10
4996-69663,20,18
3663-76600,18,18
9694-35385,19,10
6080-29926,20,2
6344-64120,21,21
5546-50184,18,18
0574-69024,21,21
9547-10742,20,11
4983-59749,16,0
5022-03480,22,14
0942-33430,20,13
0649-87022,18,8
8336-81231,15,6
8144-96283,19,1
2666-25801,20,11
4457-56255,19,7
6810-18124,19,18
7889-32817,20,5
1074-84530,21,9
9713-60537,21,20
6799-82977,21,11
8854-62397,16,18
4873-71243,20,7
6786-71046,18,6
1368-66230,19,3
8092-50470,16,0
5383-67872,19,9
1286-56356,20,20
3201-78910,16,15
3328-82148,21,18
5389-00755,22,21
0914-13468,16,16
