stdno,schoolyear,term,course,section,units,grade,courserank,contrib
2011-71917,2015,FIRST,CHEM 15.1,33L+,2,,4,1.0000,
2011-71917,2015,FIRST,STAT 1,V-5L,3,,5,1.0000,
2011-71917,2015,FIRST,ZOO 11,C-2L,5,,6,1.0000,
2014-04009,2015,FIRST,NSTP 1,EM1,0,,1,1.0000,
2014-04009,2015,FIRST,CHEM 43.0,T,3,,3,1.0000,
2014-04009,2015,FIRST,CHEM 43.1,2L,2,,4,1.0000,
2014-04009,2015,FIRST,SPCM 1(AH),F-2R,3,,5,1.0000,
2014-04009,2015,FIRST,MATH 26,S-1R,3,,6,1.0000,
2014-04009,2015,FIRST,CHEM 32.0,X,3,,7,1.0000,
2014-04009,2015,FIRST,CHEM 32.1,8L,2,,8,1.0000,
2014-04009,2015,FIRST,CMSC 11,T-3L,3,,9,1.0000,
2013-02438,2015,FIRST,CHEM 40.0,B,3,,1,1.0000,
2013-02438,2015,FIRST,CHEM 40.1,20L,1,,2,1.0000,
2013-02438,2015,FIRST,BIO 30,S-4L,3,,3,1.0000,
2013-02438,2015,FIRST,MST 101a,AR2,1,,4,1.0000,
2013-02438,2015,FIRST,ENG 2(AH),G-4R,3,,5,1.0000,
2013-02438,2015,FIRST,BIO 150,U-1L,3,,6,1.0000,
2013-02438,2015,FIRST,MATH 26,W-5R,3,,8,1.0000,
2013-02438,2015,FIRST,BOT 3,AB-5L,3,,0,0.0000,
2010-03986,2015,FIRST,VETA 103,G-4L,3,,1,1.0000,
2010-03986,2015,FIRST,STAT 162,G-8L,3,,2,1.0000,
2010-03986,2015,FIRST,CHEM 160.1,2L,2,,3,1.0000,
2010-03986,2015,FIRST,FRCH 10,F,3,,4,1.0000,
2010-03986,2015,FIRST,ZOTC 115,ST-3L,3,,5,1.0000,
2010-03986,2015,FIRST,VMCB 121,E-3L,4,,6,1.0000,
2012-07789,2015,FIRST,HFDS 12,D,3,,1,1.0000,
2012-07789,2015,FIRST,CHEM 160,E,3,,2,1.0000,
2012-07789,2015,FIRST,ENG 10,B-3R,3,,3,1.0000,
2012-07789,2015,FIRST,BOT 20,ST-7L,3,,4,1.0000,
2012-07789,2015,FIRST,MCB 150,C-3L,3,,5,1.0000,
2012-07789,2015,FIRST,PHYS 1,F-2L,3,,6,1.0000,
2013-06118,2015,FIRST,NSTP 1,AS1,0,,1,1.0000,
2013-06118,2015,FIRST,BIO 101,U,3,,2,1.0000,
2013-06118,2015,FIRST,IT 1(MST),G-2L,3,,3,1.0000,
2013-06118,2015,FIRST,SPCM 1(AH),U1-4R,3,,4,1.0000,
2013-06118,2015,FIRST,PSY 1(SSP),X1-2R,3,,5,1.0000,
2013-06118,2015,FIRST,BIO 150,F-3L,3,,6,1.0000,
2013-06118,2015,FIRST,NASC 3(MST),UV-1R,3,,7,1.0000,
2013-06118,2015,FIRST,BIO 120,S-6L,3,,8,1.0000,
2013-30969,2015,FIRST,NSTP 1,EM1,0,,1,1.0000,
2013-30969,2015,FIRST,HUM 3(AH),F,3,,2,1.0000,
2013-30969,2015,FIRST,DEVC 153,Z,3,,3,1.0000,
2013-30969,2015,FIRST,POSC 10,D,3,,4,1.0000,
2013-30969,2015,FIRST,ECON 101,T-2R,3,,6,1.0000,
2013-30969,2015,FIRST,DEVC 197,T-2R,3,,0,0.0000,
2013-30969,2015,FIRST,COST 110,E,3,,0,0.0000,
2011-01486,2015,FIRST,CMSC 11,T-4L,3,,1,1.0000,
2011-01486,2015,FIRST,PI 10(SSP),V-6R,3,,2,1.0000,
2011-01486,2015,FIRST,ENG 2(AH),U-5R,3,,3,1.0000,
2011-01486,2015,FIRST,CRPT 2,G-6L,3,,4,1.0000,
2011-01486,2015,FIRST,STAT 162,G-4L,3,,5,1.0000,
2011-01486,2015,FIRST,POSC 1(SSP),A-2R,3,,6,1.0000,
2011-01486,2015,FIRST,CHEM 160.1,3L,2,,7,1.0000,
2012-32575,2015,FIRST,IE 151,ST-2L,3,,1,1.0000,
2012-32575,2015,FIRST,IE 143,E,3,,2,1.0000,
2012-32575,2015,FIRST,ENSC 13,G,3,,3,1.0000,
2012-32575,2015,FIRST,IE 142,X,3,,4,1.0000,
2012-32575,2015,FIRST,IE 164,C,3,,5,1.0000,
2012-32575,2015,FIRST,ENSC 10b,6L,2,,6,1.0000,
2012-32575,2015,FIRST,ENSC 26,Z-1L,3,,7,1.0000,
2012-38357,2015,FIRST,PE 1,EF2,0,,1,1.0000,
2012-38357,2015,FIRST,EE 1,GH-4L,3,,2,1.0000,
2012-38357,2015,FIRST,MCB 1,S-2L,3,,3,1.0000,
2012-38357,2015,FIRST,MATH 38,T-2R,3,,4,1.0000,
2012-38357,2015,FIRST,ENSC 11,E,3,,7,1.0000,
2012-38357,2015,FIRST,ENSC 10b,2L,2,,8,1.0000,
2013-09629,2015,FIRST,NSTP 1,AS1,0,,2,1.0000,
2013-09629,2015,FIRST,FPPS 11,ST1-1L,3,,3,1.0000,
2013-09629,2015,FIRST,CHEM 15.0,H,3,,4,1.0000,
2013-09629,2015,FIRST,MATH 14,B-3R,3,,5,1.0000,
2013-09629,2015,FIRST,FBS 21,A-5L,4,,6,1.0000,
2013-09629,2015,FIRST,STAT 1,V-9L,3,,7,1.0000,
2013-09629,2015,FIRST,FRM 117,Y,3,,8,1.0000,
2011-01286,2015,FIRST,MATH 26,EF-3R,3,,1,1.0000,
2011-01286,2015,FIRST,PHYS 3,X-6L,3,,2,1.0000,
2011-01286,2015,FIRST,BIO 101,U,3,,3,1.0000,
2011-01286,2015,FIRST,SPCM 1(AH),G-1R,3,,4,1.0000,
2011-01286,2015,FIRST,BIO 120,S-5L,3,,5,1.0000,
2011-01286,2015,FIRST,CHEM 160.1,3L,2,,6,1.0000,
2010-57273,2015,FIRST,BIO 1,U-1L,3,,2,1.0000,
2010-57273,2015,FIRST,CHEM 160,V,3,,3,1.0000,
2010-57273,2015,FIRST,HNF 123,A-2L,3,,4,1.0000,
2011-14846,2015,FIRST,AGRI 195,CD-5L,3,,1,1.0000,
2011-14846,2015,FIRST,CHEM 40.0,U,3,,2,1.0000,
2011-14846,2015,FIRST,CHEM 40.1,30L,1,,3,1.0000,
2011-14846,2015,FIRST,AGRI 199,Y3,1,,4,1.0000,
2014-61798,2015,FIRST,NSTP 1,AS2,0,,1,1.0000,
2014-61798,2015,FIRST,MATH 17,X-5R,5,,2,1.0000,
2014-61798,2015,FIRST,ENG 1(AH),Z-3R,3,,3,1.0000,
2014-61798,2015,FIRST,SPCM 1(AH),Y-1R,3,,4,1.0000,
2014-61798,2015,FIRST,PI 10(SSP),B-3R,3,,5,1.0000,
2013-68107,2015,FIRST,NSTP 1,HE-EF1,0,,1,1.0000,
2013-68107,2015,FIRST,ENSC 11,E,3,,2,1.0000,
2013-68107,2015,FIRST,PHYS 13,U-3L,3,,3,1.0000,
2013-68107,2015,FIRST,MATH 28,T-2R,3,,4,1.0000,
2013-68107,2015,FIRST,CRSC 2,UV-1L,3,,5,1.0000,
2013-06435,2015,FIRST,NSTP 1,FR-BD,0,,1,1.0000,
2013-06435,2015,FIRST,ABE 70,Y-1L,3,,2,1.0000,
2013-06435,2015,FIRST,ENSC 10b,6L,2,,3,1.0000,
2013-06435,2015,FIRST,STAT 1,ST-4L,3,,4,1.0000,
2013-06435,2015,FIRST,ENG 2(AH),Y-5R,3,,5,1.0000,
2013-06435,2015,FIRST,MATH 37,X-5R,5,,6,1.0000,
2014-45783,2015,FIRST,PE 1,EF2,0,,1,1.0000,
2014-45783,2015,FIRST,NSTP 1,HE-EF1,0,,2,1.0000,
2014-45783,2015,FIRST,CRSC 2,AB-5L,3,,3,1.0000,
2014-45783,2015,FIRST,ENG 1(AH),H-3R,3,,4,1.0000,
2014-45783,2015,FIRST,ECON 11,U-6R,3,,5,1.0000,
2014-45783,2015,FIRST,HUM 3(AH),F,3,,6,1.0000,
2014-45783,2015,FIRST,ANSC 2,B-8L,3,,7,1.0000,
2014-45783,2015,FIRST,SPCM 1(AH),W-6R,3,,8,1.0000,
2014-98833,2015,FIRST,NSTP 1,AS4,0,,1,1.0000,
2014-98833,2015,FIRST,SFI 10,T-1L,3,,2,1.0000,
2014-98833,2015,FIRST,SFI 31,G-2L,4,,3,1.0000,
2014-98833,2015,FIRST,FPPS 11,ST1-2L,3,,4,1.0000,
2014-98833,2015,FIRST,FBS 21,A-5L,4,,5,1.0000,
2014-30631,2015,FIRST,NSTP 1,HE-EF1,0,,2,1.0000,
2014-30631,2015,FIRST,CRSC 1,Y-6L,3,,3,1.0000,
2014-30631,2015,FIRST,PHYS 3,X-5L,3,,4,1.0000,
2014-30631,2015,FIRST,BOT 20,ST-4L,3,,5,1.0000,
2014-30631,2015,FIRST,MATH 26,EF-5R,3,,6,1.0000,
2014-30631,2015,FIRST,HIST 1(SSP),D-2R,3,,7,1.0000,
2013-03562,2015,FIRST,NSTP 1,FR-EF,0,,1,1.0000,
2013-03562,2015,FIRST,ENG 4,C,3,,4,1.0000,
2010-17803,2015,FIRST,MATH 38,T-4R,3,,1,1.0000,
2010-17803,2015,FIRST,ENG 10,C-1R,3,,2,1.0000,
2014-23540,2015,FIRST,NSTP 1,EN1,0,,1,1.0000,
2014-23540,2015,FIRST,STAT 1,A-1L,3,,2,1.0000,
2014-23540,2015,FIRST,NASC 5(MST),CD-3R,3,,3,1.0000,
2014-23540,2015,FIRST,CMSC 11,T-4L,3,,4,1.0000,
2014-23540,2015,FIRST,MATH 26,W-5R,3,,5,1.0000,
2014-23540,2015,FIRST,ENG 2(AH),Y-3R,3,,6,1.0000,
2014-23540,2015,FIRST,PHLO 1(SSP),W1-5R,3,,0,0.0000,
2010-43774,2015,FIRST,ENG 2(AH),F-4R,3,,2,1.0000,
2010-43774,2015,FIRST,COMA 192,G,3,,3,1.0000,
2010-43774,2015,FIRST,COMA 105,T,3,,4,1.0000,
2010-43774,2015,FIRST,PI 10(SSP),B-1R,3,,5,1.0000,
2010-43774,2015,FIRST,STS 1,Y2,3,,6,1.0000,
2012-34919,2015,FIRST,AGRI 195,CD-3L,3,,2,1.0000,
2012-34919,2015,FIRST,CMSC 11,T-3L,3,,3,1.0000,
2012-34919,2015,FIRST,ENT 120,S-1L,3,,4,1.0000,
2012-34919,2015,FIRST,BIO 30,A-3L,3,,5,1.0000,
2012-34919,2015,FIRST,ECON 11,U-5R,3,,6,1.0000,
2012-34919,2015,FIRST,PI 10(SSP),A2-6R,3,,7,1.0000,
2012-34919,2015,FIRST,HUM 3(AH),F,3,,8,1.0000,
2012-38466,2015,FIRST,ENSC 13,T,3,,2,1.0000,
2012-38466,2015,FIRST,ABE 31,B-2L,2,,3,1.0000,
2012-38466,2015,FIRST,ENSC 21,C,3,,4,1.0000,
2012-38466,2015,FIRST,ENSC 16,Y,3,,6,1.0000,
2012-38466,2015,FIRST,CRSC 2,S-6L,3,,7,1.0000,
2012-38466,2015,FIRST,HUME 10(SSP),U-1R,3,,8,1.0000,
2012-38466,2015,FIRST,ENG 10,C-6R,3,,0,0.0000,
2010-41930,2015,FIRST,IE 143,E,3,,2,1.0000,
2010-41930,2015,FIRST,IE 184,GH-3L,3,,3,1.0000,
2010-41930,2015,FIRST,PI 10(SSP),U-5R,3,,5,1.0000,
2010-41930,2015,FIRST,IE 152,Y,3,,6,1.0000,
2010-41930,2015,FIRST,ENSC 12,D,3,,7,1.0000,
2012-19343,2015,FIRST,IT 1(MST),G-6L,3,,1,1.0000,
2012-19343,2015,FIRST,STAT 1,A-3L,3,,2,1.0000,
2012-19343,2015,FIRST,SPCM 1(AH),B-4R,3,,3,1.0000,
2012-19343,2015,FIRST,CHEM 40.0,C,3,,4,1.0000,
2012-19343,2015,FIRST,CHEM 40.1,26L,1,,5,1.0000,
2012-19343,2015,FIRST,BOT 3,AB-5L,3,,6,1.0000,
2012-19343,2015,FIRST,MCB 1,C-6L,3,,7,1.0000,
2014-58159,2015,FIRST,NSTP 1,FR-EF,0,,2,1.0000,
