ABM 103,Introduction to Agribusiness Management  
AERS 290,Special Problems  
AERS 291,Special Topics  
AERS 299,Graduate Seminar in Agricultural Education  
AERS 300,Master’s Thesis  
AERS 400,Doctoral Dissertation  
AERS 45,Methods of Agricultural Extension Teaching  
AGFOR A,Introduction to Agroforestry  
AGFOR B,Production and Management in Agroforestry Systems  
AGFOR C,Supportive Technologies and Income-Generating Projects in Agroforestry  
AGFOR D,Community Organizing and Development for Agroforestry  
AGFOR E,Agroforestry Systems Design and Development  
AGFOR F,Agroforestry Farm Management  
AGFOR G,Agroforestry Project Planning and Management  
AGFOR H,Special Problem in Agroforestry  
AGFOR I,Seminar in Agroforestry  
AGME 150,Geometeorology  
AGME 250,Micrometeorology  
AGME 260,Tropical Agrometeorology  
AGME 290,Special Problems  
AGME 291,Special Topics  
AGME 299,Graduate Seminar in Agricultural Engineering  
AGME 300,Master’s Thesis  
AGR 110,Grain Crops Production  
AGR 112,Methods in Crop Research  
AGR 114,Annual Industrial Crops Production  
AGR 116,Multiple Cropping  
AGR 118,Pasture and Feed Crops Production  
AGR 132,Biology of Weeds  
AGR 133,Weeds and their Control  
AGR 141,Field Crop Physiology  
AGR 150,Methods in Plant Breeding I  
AGR 152,Plant Genetic Resources Conservation and Management  
AGR 153,Methods in Plant Breeding II  
AGR 170,Fundamentals of Seed Technology  
AGR 172,Seed Storage  
AGR 190,Special Problems  
AGR 191,Special Topics  
AGR 199,Undergraduate Seminar  
AGR 200,Undergraduate Thesis  
AGR 200a,Major Practice  
AGR 218,Advanced Pasture and Fodder Crop Management and Utilization  
AGR 235,Physiology of Herbicides  
AGR 236,Herbicide-Soil Interactions  
AGR 240,Environmental Physiology  
AGR 241,Advanced Field Crop Physiology and Ecology  
AGR 250,Advanced Plant Breeding I  
AGR 251,Advanced Plant Breeding II  
AGR 254,Crop Evolution  
AGR 255,Population Genetics  
AGR 256,Quantitative Genetics  
AGR 258,Molecular Plant Breeding  
AGR 270,Seed Science, Technology and Program Development  
AGR 290,Special Problems  
AGR 291,Special Topics  
AGR 299,Graduate Seminar in Agronomy  
AGR 300,Master’s Thesis  
AGR 400,Doctoral Dissertation  
AGR 50,Principles of Plant Breeding  
AGRI 11,Introduction to Agriculture  
AGRI 111,Introduction to Farming Systems  
AGRI 121,Introduction to Ecological Agriculture  
AGRI 161,Innovation and Enterpreneurship in Agriculture  
AGRI 199,Colloquium in Agriculture  
AGRI 200,Agricultural Administration  
AGRI 211,Design and Assessment of Farming Systems  
AGRI 221,Advanced Ecological Agriculture  
AGRS 1,Fundamentals of Agrarian Reform  
AGRS 115,Political Economy of Agrarian Reform  
AGRS 201,Agrarian Reform and Agrarian Systems  
AGRS 211,Economics of Agrarian Reform  
AGRS 221,Legislation and Administration of Agrarian Reform Programs  
AGRS 231,Social Dynamics in Agrarian Reform  
AGRS 290,Special Problem  
AGRS 291,Special Topics  
AGRS 298,Practicum  
AGRS 299a,Graduate Seminar on Agrarian Reform  
AGRS 299b,Graduate Seminar on Agrarian Reform  
AGRS 300,Master’s Thesis  
AMAT 110,Mathematical Modeling  
AMAT 115,Introduction to Mathematical Decision Theory  
AMAT 120,Mathematics of Investment  
AMAT 130,Mathematical Methods in Biology  
AMAT 150,Computer Programming  
AMAT 151,Elementary Numerical Methods  
AMAT 160,Linear Programming  
AMAT 161,Nonlinear Programming  
AMAT 162,Integer and Dynamic Programming  
AMAT 167,Mathematical Models in Operations Research I  
AMAT 168,Mathematical Models in Operations Research II  
AMAT 170,Theory of Interest  
AMAT 171,Life Insurance Mathematics I  
AMAT 172,Life Insurance Mathematics II  
AMAT 174,Measurement of Mortality  
AMAT 176,Actuarial Science  
AMAT 19,Finite Mathematics  
AMAT 190,Special Problems  
AMAT 191a,Special Topics in Operations Research  
AMAT 191b,Special Topics in Actuarial Science  
AMAT 198,Practicum  
AMAT 199,Undergraduate Seminar  
AMAT 266,Deterministic Mathematical Decision Models  
AMAT 267,Probabilistic Mathematical Decision Models  
ANP A,Livestock Production Technology  
ANP B,Poultry and Swine Production Technology  
ANP C,Ruminant Production Technology  
ANP D,Dairy Production and Processing Technology  
ANSC 1,Introduction to Animal Science  
ANSC 110,Swine Production  
ANSC 120,Beef Production  
ANSC 140,Poultry Production  
ANSC 141,Poultry Management  
ANSC 150,Meat Processing  
ANSC 151,Slaughter and Meat Evaluation  
ANSC 152,Comminuted Meat Products  
ANSC 160,Anatomy and Physiology of Farm Animals  
ANSC 162,Reproduction in Farm Animals  
ANSC 165,Methods in Animal Breeding  
ANSC 170,Principles of Animal Nutrition  
ANSC 171,Nutritional Diseases of Farm Animals  
ANSC 180,Livestock Sanitation and Disease Control  
ANSC 181,Poultry Sanitation and Disease Control  
ANSC 185,The Fundamentals of Animal Climatology  
ANSC 190,Special Problems  
ANSC 191,Special Topics  
ANSC 199,Undergraduate Seminar  
ANSC 2,Introduction to Livestock and Poultry Production  
ANSC 200,Undergraduate Thesis  
ANSC 200a,Major Practice  
ANSC 210,Advances in Swine Production  
ANSC 220,Advanced Course in Cattle and Carabao Production  
ANSC 225,Conservation of Grass and Forage Crops  
ANSC 240,Advanced Poultry Production  
ANSC 250,Advanced Course in Meats  
ANSC 260,Artificial Breeding of Farm Animals  
ANSC 263,Mammalian Anatomy  
ANSC 264,Mammalian Physiology  
ANSC 265,Advanced Animal Breeding  
ANSC 266,Poultry Breeding  
ANSC 270,Research Techniques in Animal Nutrition  
ANSC 271,Feed Formulation and Quality Control  
ANSC 272,Advanced Animal Nutrition  
ANSC 285,Environmental Physiology of Domestic Animals  
ANSC 290,Special Problems in Animal Science  
ANSC 291,Special Topics in Animal Science  
ANSC 299,Graduate Seminar in Animal Science  
ANSC 300,Master’s Thesis  
ANSC 400,Doctoral Dissertation  
ANSC 65,Principles of Animal Breeding  
ANSC 70,Livestock and Poultry Feeding  
ANTH 10,Introduction to Social and Cultural Anthropology  
ANTH 120,Social Anthropology  
ANTH 130,Ecological Anthropology  
APHY 101,Physics in Scientific Instruments  
APHY 102,Physics of Electronic Devices  
APHY 103,Electronic Circuits  
APHY 104,Digital Computer Electronics  
APHY 105,Microprocessor-Based Instruments  
APHY 106,Biophysical Instrumentation  
APHY 130.1,Logic Design Laboratory  
APHY 131,Microcomputer Architecture  
APHY 132,Assembly Language Programming for Instrumentation  
APHY 140,Introductory Environmental Physics  
APHY 190,Special Problems  
APHY 191,Special Topics  
APHY 198,Practicum  
APHY 199,Undergraduate Seminar  
APHY 200,Undergraduate Thesis  
ARDS 201,Social Dynamics of Agrarian and Rurban Institutions  
ASIV,Introduction to Asian Civilization  
BIO 1,General Biology I  
BIO 101,Introductory Molecular Biology  
BIO 102,Cytology  
BIO 105,Introductory Biophysics  
BIO 120,Cell Biology  
BIO 121,Developmental Cell Biology  
BIO 130a,Advanced Genetics I  
BIO 130b,Advanced Genetics II  
BIO 131,Cytogenetics  
BIO 138,Molecular Genetics  
BIO 139,Human Genetics  
BIO 140,Evolutionary Biology  
BIO 142,Principles of Systematic Biology  
BIO 150,Principles of Ecology  
BIO 151,Environmental Management  
BIO 159,Conservation Biology in the Tropics  
BIO 180,Biological Microtechnique  
BIO 190,Special Problems  
BIO 191,Special Topics  
BIO 192,Museum Herbarium Curatorship  
BIO 199,Undergraduate Seminar in Biology  
BIO 2,General Biology II  
BIO 200,Undergraduate Thesis in Biology  
BIO 201,Advanced Molecular Biology  
BIO 202,Advanced Cytology  
BIO 231,Advanced Cytogenetics  
BIO 235,Evolutionary Genetics  
BIO 241,Biogeography  
BIO 242,Biosystematics  
BIO 290,Special Problems  
BIO 291,Special Topics  
BIO 299,Graduate Seminar in Biology  
BIO 3,Biodiversity  
BIO 30,Genetics  
BIO 300,Master’s Thesis  
BIO 400,Doctoral Dissertation  
BIO 70,Earth’s Processes and Biological Systems  
BIO A,Principles of Biology  
BIO B,Morpho-Anatomy  
BIO C,Physiology  
BIO D,Principles of Genetics  
BIO E,Evolution and Systematics  
BIO F,Biology Laboratory  
BM 240,Production and Operations Management  
BM 255,International Marketing  
BM 261,Law in Business Transaction  
BM 280,Research Methods in Business Management  
BOT 1,Introduction to Plant Science  
BOT 101,Phycology  
BOT 110,Morphology and Anatomy of Plants  
BOT 111,Bryophytes and Vascular Cryptogams  
BOT 120,Advanced Plant Physiology  
BOT 123,Plant Water Relationships  
BOT 140,Systematics of the Spermatophytes  
BOT 141,Systematics of the Filicinae  
BOT 142,Economic Botany  
BOT 150,Plant Ecology  
BOT 152,Phytogeography  
BOT 160,Field Botany  
BOT 161,Introduction to Palynology  
BOT 190,Special Problems  
BOT 191,Special Topics  
BOT 192,Plant Histochemistry  
BOT 195,Plant Microtechnique  
BOT 20,Elementary Plant Physiology  
BOT 201,Cell Ultrastructure  
BOT 202,Advances in Phycology  
BOT 210,Developmental Plant Anatomy  
BOT 220,Plant Photophysiology  
BOT 221,Water Economy and Related Process in Plants  
BOT 225,Biotechnology and Plant Secondary Metabolites  
BOT 240,Problems and Methods in Plant Systematics  
BOT 245,Weed Systematics  
BOT 250,Advanced Plant Ecology  
BOT 261,Pollination Biology  
BOT 290,Special Problems  
BOT 291,Special Topics  
BOT 299,Graduate Seminar in Botany  
BOT 3,Intermediate Botany  
BOT 300,Master’s Thesis  
BOT 400,Doctoral Dissertation  
CE 12,Surveying II  
CE 199,Undergraduate Seminar  
CE 200,Undergraduate Thesis  
CE 200a,Practicum  
CE 21,Transportation Engineering I  
CE 22,Transportation Engineering II  
CE 31,Structural Engineering I  
CE 32,Structural Engineering II  
CE 33,Structural Engineering III  
CE 34,Structural Engineering IV  
CE 35,Structural Engineering V  
CE 41,Hydraulic Engineering  
CE 51,Sanitary Engineering I  
CE 52,Sanitary Engineering II  
CE 61,Construction Materials  
CE 62,CE Laws, Contracts and Ethics  
CE 63,Construction Planning  
CE 71,Foundation Engineering  
CE 72,Pre-stressed Concrete  
CE 73,Earthquake Engineering  
CED 190,Special Problems  
CED 191,Special Topics  
CED 199,Undergraduate Seminar  
CED 200a,Major Practice  
CED 210,Managing Education for Community Welfare  
CED 213,Instructional Systems Design and Management  
CED 215,Leadership for Educational and Community Productivity  
CED 217,Educational Planning  
CED 290,Special Problems  
CED 291,Special Topics  
CED 298,Field Studies  
CED 299,Graduate Seminar  
CED 300,Master's Thesis  
CED 400,Doctoral Dissertation  
CEN 45,Unit Processes  
CEN 50,Introduction to Unit Operations  
CERP 11,Material and Energy Flows  
CERP 122,Conservation of Natural Resources  
CERP 131,Planning Theory and Practice  
CERP 132,Land Use Planning for Human Settlements  
CERP 133,Human Settlements Planning I  
CERP 134,Human Settlements Planning II  
CERP 140,Fundamentals of Environmental Economics  
CERP 152,Environmental Project Planning and Administration  
CERP 21,Environmental Health  
CERP 31,Fundamentals of Human Settlements  
CHEM 102,Elementary Physical Chemistry  
CHEM 111,Physical Chemistry I  
CHEM 112,Physical Chemistry II   
CHEM 115,Physical Chemistry III  
CHEM 120,Inorganic Chemistry  
CHEM 131,Technical Analysis I  
CHEM 133,Technical Analysis II  
CHEM 135,Technical Analysis III  
CHEM 137,Modern Analytical Chemistry  
CHEM 14,Basic Chemistry   
CHEM 140,Organic Analysis  
CHEM 15,Fundamentals of Chemistry  
CHEM 154,Biophysical Chemistry  
CHEM 157,Phytochemistry  
CHEM 16,General Chemistry I   
CHEM 160,Introductory Biochemistry  
CHEM 161,General Biochemistry  
CHEM 162,Plant Biochemistry  
CHEM 164,Introduction to Chemical Toxicology  
CHEM 17,General Chemistry II   
CHEM 171,Industrial Chemistry  
CHEM 173,Polymer Chemistry  
CHEM 174,Principles of Radioisotope Methodology  
CHEM 176,Dairy Chemistry  
CHEM 177,Biochemical Technology I  
CHEM 178,Biochemical Technology II  
CHEM 18,Structure and Reactivity  
CHEM 180,General Environmental Chemistry  
CHEM 181,Pollution Chemistry  
CHEM 185,Structure and Reactivity of Agricultural Chemicals  
CHEM 190,Special Problems  
CHEM 191,Special Topics  
CHEM 192,Chemical Literature  
CHEM 199,Undergraduate Seminar  
CHEM 200,Undergraduate Thesis  
CHEM 200a,Industrial Practice  
CHEM 205,Intermediate Physical Chemistry  
CHEM 211,Quantum Chemistry  
CHEM 214,Molecular Thermodynamics  
CHEM 215,Advanced Physical Chemistry  
CHEM 216,Chemical Kinetics  
CHEM 220,Advanced Inorganic Chemistry  
CHEM 225,Organometallic Chemistry  
CHEM 227,Bioinorganic Chemistry  
CHEM 230,Research Techniques in Chemistry  
CHEM 231,Chromatography  
CHEM 232,Spectrochemical Methods of Analysis  
CHEM 233,Electroanalytical Chemistry  
CHEM 242,Organic Reaction Mechanisms  
CHEM 244,Organic Synthesis  
CHEM 246,Heterocyclic Compounds  
CHEM 252,Chemistry of Natural Products  
CHEM 254,Physical Biochemistry  
CHEM 260,Intermediary Metabolism I  
CHEM 261,Intermediary Metabolism II  
CHEM 262,Lipid Chemistry  
CHEM 263,Analytical Biochemistry  
CHEM 265,Enzyme Chemistry  
CHEM 266,Chemistry of Nucleic Acids  
CHEM 267,Advanced Biochemistry  
CHEM 268,Carbohydrate Chemistry  
CHEM 269,Protein Chemistry  
CHEM 273,Chemical Toxicology  
CHEM 275,Enzyme Technology  
CHEM 290,Special Problems  
CHEM 291,Special Topics  
CHEM 299,Graduate Seminar  
CHEM 300,Master’s Thesis  
CHEM 32,Quantitative Inorganic Analysis   
CHEM 40,Basic Organic Chemistry   
CHEM 400,Doctoral Dissertation  
CHEM 43,Organic Chemistry I   
CHEM 44,Organic Chemistry II   
CHEM A,Fundamental Concepts of Chemistry I  
CHEM B,Fundamental Concepts of Chemistry II  
CHEM C1,Applied Physical Chemistry  
CHEM C2,Basic Inorganic Chemistry  
CHEM C3,Basic Quantitative Analytical Chemistry  
CHEM C4,Basic Principles of Organic Chemistry  
CHEM C6,Chemistry of Biomolecules  
CHEM C7,Introduction to Experimental Bio-organic Chemistry  
CHEM C8,Chemistry and the Environment  
CHEM F,Experiments in Chemistry  
CMSC 1,Introduction to Personal Computing  
CMSC 100,Web Programming  
CMSC 11,Introduction to Computer Science  
CMSC 123,Data Structures  
CMSC 124,Design and Implementation of Programming Languages  
CMSC 125,Operating Systems  
CMSC 127,File Processing and Database Systems  
CMSC 128,Introduction to Software Engineering  
CMSC 129,Principles of Compiler Design  
CMSC 130,Logic Design and Digital Computer Circuits  
CMSC 131,Introduction to Computer Organization and Machine Level Programming  
CMSC 132,Computer Architecture  
CMSC 137,Data Communications and Networking  
CMSC 140,Advanced Programming  
CMSC 141,Automata and Language Theory  
CMSC 142,Design and Analysis of Algorithm  
CMSC 150,Numerical and Symbolic Computations  
CMSC 161,Interactive Computer Graphics  
CMSC 170,Introduction to Artificial Intelligence  
CMSC 172,Robot Modelling  
CMSC 180,Introduction to Parallel Computing  
CMSC 190,Special Problems  
CMSC 191,Special Topics  
CMSC 198,Practicum  
CMSC 199,Undergraduate Seminar  
CMSC 2,Introduction to the Internet  
CMSC 200,Undergraduate Thesis  
CMSC 21,Fundamentals of Programming  
CMSC 214,Programming Language Design Concepts  
CMSC 215,Advanced Computer Systems  
CMSC 22,Object-Oriented Programming  
CMSC 220,Computer System Performance Evaluation  
CMSC 222,Information Retrieval  
CMSC 224,Advanced Programming Languages  
CMSC 225,Advanced Operating Systems  
CMSC 227,Advanced Database Systems  
CMSC 228,Software Engineering  
CMSC 229,Compiler Construction  
CMSC 231,Advanced Computer Architecture  
CMSC 241,Formal Languages, Automata Theory and Computations  
CMSC 243,Combinatorial Algorithms  
CMSC 244,Algorithms and Advanced Data Structures I  
CMSC 245,Algorithms and Advanced Data Structures II  
CMSC 250,Scientific Computing  
CMSC 271,Management Information Systems  
CMSC 272,Strategic Information Systems Development  
CMSC 280,Parallel Processing  
CMSC 290,Special Problems  
CMSC 291,Special Topics  
CMSC 299,Graduate Seminar  
CMSC 300,Master’s Thesis  
CMSC 341,Advanced Theory of Computation  
CMSC 342,Computational Complexity Theory  
CMSC 391,Special Topics  
CMSC 399,Graduate Seminar  
CMSC 400,Doctoral Dissertation  
CMSC 56,Discrete Mathematical Structures in Computer Science I  
CMSC 57,Discrete Mathematical Structures in Computer Science II  
CMSC A,Discrete Structures in Computer Science  
CMSC B,Principles of Programming  
CMSC C,Computer Systems and Organization  
CMSC D,Data Structures and Algorithms  
CMSC E,Data Communications and Networking  
CMSC F,Database Management Systems  
CMSC G,Introduction to Management Information Systems  
CMSC H,Object-Oriented Analysis and Design  
CMSC I,Principles of Software Engineering  
CMSC J,Programming Languages  
CMSC K,Operating Systems  
CMSC L,Introduction to Computing Theory  
CMSC M,Algorithm Analysis  
COMA 101,Language and Communication  
COMA 103,The Psychology of Language  
COMA 104,Language and Culture  
COMA 105,Principles of Public Relations and Advertising  
COMA 106,Public Relations and Advertising Operations  
COMA 140,Phonology, Morphology and Syntax  
COMA 141,Methods of Language Teaching  
COMA 190,Directed Study  
COMA 192,Introduction to Research  
COMA 193,Workshop  
COMA 200,Undergraduate Thesis  
COMA 200a,Practicum  
COMA 201,Critical Approaches to Communication Studies  
COMA 202,Discourse Analysis in Communication  
COMA 211,Rhetoric  
COMA 212,Phonology  
COMA 213,Advanced Oral Interpretation  
COMA 214,Varieties of Public Speaking  
COMA 215,Speech Communication Strategies for Instruction  
COMA 220,Grammar and Stylistics  
COMA 224,Writing for Corporate Communication  
COMA 226,Writing Children’s Literature  
COMA 290,Special Problems  
COMA 299,Graduate Seminar  
COMA 300,Master’s Thesis  
COMM I,Communication Skills I  
COMM II,Communication Skills II  
COMM III,Speech Communication  
COST 110,Fundamentals of Cooperatives  
COST 120,International Cooperative Development  
COST 130,Philippine Cooperative Laws and Institutions  
COST 140,Cooperative Banking and Finance  
COST 141,Cooperatives and Rural Credit  
COST 150,Cooperatives Marketing  
COST 160,Education and Training in Cooperatives  
COST 201,Theory and Comparative Development of Cooperatives  
COST 202,Organization and Management of Cooperatives  
COST 203,Cooperatives Legislation  
COST 291,Special Topics  
COST 298,Field Studies  
COST 299,Graduate Seminar  
CRP A,Crop Production Technology  
CRP B,Production Systems for Annual Crops  
CRP C,Production Systems for Perennial Crops  
CRPT 1,Principles of Crop Protection  
CRPT 2,Pest Management  
CRPT A,Crop Protection Technology  
CRPT B,Integrated Pest Control  
CRPT C,Pesticide Management  
CRSC 1,Fundamentals of Crop Science I  
CRSC 2,Fundamentals of Crop Science II  
ChE 140,Instrumentation and Process Dynamics and Control  
ChE 145,Chemical Reaction Engineering  
ChE 147,Application of Fluid Dynamics in Chemical Engineering  
ChE 154,Transfer Operations II  
ChE 165,Chemical Process Equipment Design  
ChE 172,Introduction to Biochemical Engineering  
ChE 204,Mathematical Methods for Chemical Engineering Analysis  
ChE 240,Advanced Control Theory  
ChE 242,Advanced Chemical Engineering Thermodynamics  
ChE 243,Advanced Transport Phenomena  
ChE 245,Advanced Chemical Reaction Engineering  
ChE 272,Advances in Biochemical Engineering  
ChE 290,Special Problems  
ChE 291,Special Topics  
ChE 299,Graduate Seminar  
ChE 300,Master's Thesis  
DEVC 10,Introduction to Development Communication  
DEVC 102,Writing for Educational Communication Media  
DEVC 11,Introduction to Mass Media Writing  
DEVC 120,Development Writing  
DEVC 121,Publications Writing and Editing  
DEVC 122,Science Reporting  
DEVC 123,Management and Production of a Community Newspaper  
DEVC 124,Advanced Developmental Writing  
DEVC 130,Broadcast Speech and Performance of Community Radio  
DEVC 131,Writing and Program Planning for Community Radio  
DEVC 132,Radio Drama and Documentary  
DEVC 133,Broadcast-Based Distance Learning Systems  
DEVC 134,Introduction to Telecommunications  
DEVC 140,Basic Photography  
DEVC 141,Visual Design and Techniques  
DEVC 142,Visual Aids Planning and Production  
DEVC 143,Fundamentals of Video Production  
DEVC 150,Scientific and Technical Information Processing  
DEVC 151,Scientific and Technical Publications Editing  
DEVC 152,Principles and Development Applications of Knowledge Management  
DEVC 180,Communication Campaigns and Programs  
DEVC 190,Communication Internship  
DEVC 197,Introduction to Communication Research  
DEVC 198,Undergraduate Research in Development Communication  
DEVC 199,Undergraduate Seminar  
DEVC 20,Fundamentals of Development Journalism  
DEVC 201,Communication Theory  
DEVC 205,Communication and Development  
DEVC 208,Communication and Social Marketing  
DEVC 210,Advanced Communication Theory  
DEVC 211,Organizational Communication  
DEVC 212,Environmental Communication  
DEVC 215,Communication and Culture  
DEVC 220,Communication Policies and Planning  
DEVC 230,Educational Communication Technology  
DEVC 231,Educational Communication Systems Management  
DEVC 234,Telecommunications for Development  
DEVC 235,Educational Broadcasting in Development  
DEVC 261,Testing and Evaluation of Communication Materials  
DEVC 262,Communication Research  
DEVC 263,Communication of Scientific and Technical Information  
DEVC 290,Special Problems  
DEVC 291,Special Topics  
DEVC 299,Graduate Seminar in Development Communication  
DEVC 30,Fundamentals of Community Broadcasting  
DEVC 300,Master’s Thesis  
DEVC 393,Qualitative Approaches to Communication  
DEVC 40,Fundamentals of Educational Communication and Technology  
DEVC 400,Doctoral Dissertation  
DEVC 50,Introduction to Science Communication  
DEVC 70,Interpersonal Communication in Development  
DEVC 80,Communication and Society  
DM 201,Development Perspective  
DM 204,Management Dimensions of Development Organizations  
DM 210,Research Management  
DM 220,Public Policy and Program Administration for Development  
DM 221,Fiscal Administration in Development  
DM 223,Project Development and Management  
DM 224,Public Affairs Management in Development I  
DM 225,Public Affairs Management in Development II  
