stdno,allowedunits,currentunitsenlisted
2011-62035,19,18
2013-45421,21,18
2014-61091,20,20
2012-66480,18,17
2013-98198,15,6
2014-71705,20,20
2011-49153,19,19
2014-33243,18,18
2014-53902,17,17
2013-43088,18,18
2014-53064,21,21
2014-47613,19,19
2014-61797,20,20
2011-62688,18,12
2013-16914,18,18
2012-18566,18,18
2012-10058,22,5
2013-08370,21,18
2012-97889,23,19
2011-62918,19,10
2014-70765,19,16
2014-57047,19,19
2014-09235,18,18
2014-07974,19,19
2012-38375,19,19
2012-19615,21,18
2011-42777,19,1
2013-55847,19,15
2012-44510,21,19
2014-68061,18,18
2013-36222,17,17
2014-15347,19,19
2013-04736,20,20
2012-56486,21,21
2012-40032,19,10
2014-09407,20,20
2011-23973,19,3
2014-48572,18,18
2013-38474,19,19
2012-47692,21,15
2013-98282,17,17
2013-26706,21,21
2011-62614,18,18
2009-96659,19,3
2014-20211,18,18
2013-08490,20,20
2011-32502,19,10
2010-01310,21,20
2014-64969,18,18
2011-18487,20,6
2013-98199,18,18
2012-21621,18,13
2013-27549,18,0
2012-14440,18,12
2013-29183,18,18
2012-52133,18,12
2010-19875,20,7
2009-96552,18,15
2011-97478,18,15
2014-03928,19,16
2011-43162,18,9
2011-51815,18,18
2013-74094,18,18
2012-06363,19,18
2014-09260,18,18
2013-02015,18,12
2011-37086,18,9
2012-10039,23,18
2011-48296,21,18
2014-99164,17,17
2013-47746,18,18
2013-98419,18,18
2012-26657,19,18
2013-19828,21,19
2013-30627,18,18
2014-08787,18,18
2012-03161,20,20
2014-08916,18,17
2011-97324,21,19
2014-09408,18,18
2014-02414,18,15
2011-36579,20,18
2013-45133,18,18
2010-19876,19,6
2012-18341,18,17
2011-26570,19,17
2011-37464,19,17
2014-48574,21,21
2013-00529,21,16
2012-97793,15,6
2009-81480,18,15
2011-07349,19,15
2010-67381,18,9
2013-29146,18,18
2014-72373,18,18
2012-51775,17,17
2010-52485,17,12
2013-04662,18,18
2014-62408,19,17
2012-43988,19,18
2012-97794,21,21
2014-09426,20,20
2012-27945,19,17
2013-30629,18,18
2013-17824,21,18
2014-03465,18,18
2013-22390,19,17
2014-04399,19,18
2013-59925,18,0
2012-30416,20,19
2012-55229,21,16
2012-35004,19,17
2012-38376,21,15
2008-38017,21,7
2013-55200,21,21
2009-23913,18,16
2008-67906,16,9
2014-08974,17,16
2012-38458,21,18
2014-01272,19,19
2012-50743,21,18
2014-09531,22,22
2013-28877,21,18
2010-97060,15,3
2013-04695,21,14
2012-44421,17,15
2008-37163,19,0
2012-97891,21,19
2014-07252,17,17
2014-10080,17,16
2011-22954,24,23
2014-98834,16,16
2014-08198,18,18
2013-12697,18,0
2013-02573,21,18
2014-62178,19,18
2013-19723,23,23
2011-22761,18,6
2013-06239,18,15
2014-05808,20,20
2014-78398,19,19
2012-97892,18,9
2014-16723,19,19
2014-01749,17,17
2014-98924,18,0
2013-02940,21,21
2012-02945,21,21
2014-09022,20,18
2012-18995,19,17
2012-40974,18,9
2013-47328,21,21
2013-15493,18,18
2014-72737,18,18
2014-71896,18,18
2011-21582,17,9
2013-60309,18,18
2014-98821,18,0
2014-02553,20,20
2014-03227,18,15
2013-08708,20,20
2011-48821,18,18
2013-46294,23,23
2013-09975,23,23
2010-38912,21,17
2014-77051,22,22
2013-05380,21,21
2013-09972,17,16
2012-17636,17,15
2012-28678,18,15
2014-09517,20,20
2012-44462,21,15
2014-26736,21,21
2012-52981,18,15
2014-35880,19,19
2014-81809,20,19
2014-70237,19,16
2012-38129,19,16
2013-30972,20,20
2013-69847,21,21
2013-06976,18,18
2012-57133,19,19
2012-18863,18,18
2014-63997,18,18
2011-97505,17,7
2012-97795,21,20
2012-59435,18,18
2013-08257,18,18
2014-64384,19,17
2012-64317,18,13
2014-71208,19,19
2012-61499,18,14
2013-98581,19,18
2014-13101,19,19
2011-31155,12,3
2013-71174,19,15
2014-72335,19,19
2013-50225,18,18
2005-32084,21,12
2013-41373,21,21
2012-19076,18,15
2014-09270,19,19
2014-08746,19,19
2013-68047,18,18
2014-05810,17,15
2011-32875,20,9
2014-48597,19,16
2010-43454,19,9
2012-45870,18,12
2014-05736,19,19
2013-08844,18,18
2012-11565,19,19
2010-96895,18,9
2011-48272,19,1
2014-72679,19,19
2011-45793,18,0
2014-55133,19,19
2012-14746,18,6
2011-55125,18,0
2012-62859,19,18
2014-27500,20,20
2012-14636,19,18
2012-61108,18,12
2012-15829,19,15
2012-19356,21,21
2011-19991,21,0
2011-17485,21,19
2014-77109,20,19
2012-46086,18,16
2009-19650,16,0
2012-10445,19,13
2013-06535,21,18
2011-48320,18,18
2011-52277,21,7
2012-35496,18,18
2013-09433,21,18
2014-10677,17,17
2010-42605,13,3
2012-13501,18,12
2014-45872,20,20
2014-30198,20,18
2013-68205,18,18
2014-72505,20,20
2012-06177,19,19
2012-97796,21,20
2011-03541,16,0
2012-55150,20,18
2013-69291,18,18
2014-26031,17,17
2014-72417,18,18
2011-48684,19,3
2011-63017,21,7
2014-23542,18,18
2013-98285,18,18
2014-08738,17,17
2013-14044,20,20
2012-51183,18,15
2013-46227,21,21
2014-00492,18,18
2014-23543,20,20
2014-98836,16,16
2014-25036,19,19
2014-63856,19,16
2011-27169,19,6
2012-17233,18,13
2014-28353,19,19
2011-06821,16,0
2011-43366,20,6
2012-41480,17,15
2011-22061,20,10
2013-62225,23,23
2013-46559,18,18
2011-62831,21,12
2013-22840,18,18
2014-19906,19,19
2011-47752,21,12
2013-26011,19,19
2012-40248,19,17
2011-47296,20,20
2013-59928,18,18
2013-09970,19,17
2013-60054,18,18
2014-08918,19,19
2014-71270,19,19
2013-58478,20,18
2012-71047,19,18
2012-21436,18,15
2012-57847,19,18
2014-08055,19,17
2014-61800,19,19
2013-23829,18,15
2014-12617,19,19
2011-46449,21,17
2012-39929,20,5
2010-41985,21,18
2011-13401,15,0
2014-33025,18,16
2013-18353,18,18
2014-33620,18,18
2014-12632,18,18
2013-15745,21,21
2011-22442,20,19
2010-41679,21,18
2014-98837,16,16
2014-47609,19,16
2012-37611,18,18
2014-33812,18,18
2011-62182,19,11
2008-96321,19,0
2013-98667,18,17
2012-24916,19,16
2011-22221,20,10
2012-97797,21,21
2013-60984,21,15
2013-09935,20,18
2009-27053,18,0
2014-21081,18,18
2011-47334,16,3
2011-18507,20,9
2014-50979,20,20
2013-68052,17,17
2012-20254,18,3
2013-43770,18,18
2014-52762,19,19
2011-01130,18,18
2012-27065,18,15
2011-47410,21,10
2010-97089,19,3
2013-11799,18,18
2014-14708,20,17
2014-10082,18,18
2013-60780,18,18
2014-15900,18,18
2013-29053,21,19
2012-24511,19,17
2011-97510,19,9
2010-73194,21,14
2013-05382,21,21
2013-29506,21,18
2011-59662,18,12
2012-50504,18,13
2014-56420,20,14
2013-08231,18,18
2014-36532,21,21
2014-15707,20,20
2010-42860,18,4
2013-05304,18,15
2011-47802,15,6
2012-97893,18,18
2012-38378,20,5
2008-96322,21,9
2014-19859,18,18
2014-26662,20,20
2013-40713,21,15
2014-01440,20,20
2012-00984,21,20
2013-50952,18,18
2014-00476,19,16
2014-08638,19,17
2014-25172,19,16
2014-34572,20,20
2013-05135,19,18
2012-17737,21,18
2012-04366,21,13
2012-27129,18,15
2013-35522,20,20
2012-97894,18,18
2010-29656,20,18
2012-57670,12,9
2010-51340,20,8
2013-09754,20,11
2014-23155,17,17
2014-26033,20,20
2013-12668,17,17
2013-57699,21,21
2014-62844,19,19
2008-69730,17,17
2014-55134,20,20
2012-37229,23,10
2012-37217,18,15
2014-11799,19,19
2014-21135,21,21
2013-35902,18,18
2014-43955,17,16
2013-39684,18,18
2010-08881,19,1
2014-09286,18,18
2013-05809,18,18
2014-56922,19,19
2014-98724,19,19
2011-97506,18,16
2014-33024,17,16
2012-38467,19,18
2010-16341,17,6
2013-68151,18,15
2014-98839,16,16
2011-49105,19,13
2014-21995,20,20
2014-43246,18,15
2014-27415,18,18
2014-12168,20,23
2013-11471,18,15
2011-46329,18,13
2013-72449,20,20
2004-67445,18,18
2011-22801,20,14
2010-36180,20,7
2011-46358,19,1
2014-40309,21,20
2011-62406,19,0
2010-01257,20,17
2011-37943,19,0
2010-12021,20,3
2014-60556,18,18
2013-04598,20,18
2011-50555,16,0
2014-50757,19,19
2009-19845,17,12
2012-46453,18,18
2013-06913,21,21
2014-71811,18,18
2012-24512,19,19
2013-09937,21,21
2011-19096,24,19
2014-67689,19,19
2012-77501,19,17
2011-42726,20,18
2014-72637,18,18
2012-12948,18,12
2013-41789,18,18
2012-38380,19,17
2013-39501,20,20
2011-25318,20,19
2011-08699,21,9
2014-29964,21,19
2014-53654,20,20
2014-28452,20,19
2014-42007,19,19
2012-37351,20,20
2013-69760,18,18
2014-98840,16,16
2013-48112,23,23
2012-69547,18,15
2011-64357,18,0
2013-66709,18,15
2009-17167,19,3
2013-59933,18,18
2012-05484,18,16
2012-21809,18,12
2010-70053,18,0
2013-26492,17,13
2010-51890,20,17
2012-57714,18,13
2013-08686,18,18
2013-48312,17,11
2012-14918,17,14
2013-06914,21,18
2012-27931,19,17
2014-28884,18,18
2011-65702,21,12
2012-97895,21,21
2013-60310,18,18
2014-36138,20,20
2014-70769,18,18
2013-46799,20,17
2013-10388,18,18
2014-53685,18,18
2011-20883,18,12
2014-48770,19,19
2012-37403,18,15
2014-69319,20,20
2014-79200,17,17
2013-41788,20,20
2013-21959,18,18
2008-38474,20,19
2013-03932,19,18
2014-23306,18,15
2010-20476,18,15
2007-62600,21,14
2011-03492,21,9
2014-73732,19,19
2011-51056,21,0
2012-07050,19,19
2013-42829,18,18
2012-18834,20,15
2014-26073,17,17
2014-08758,18,18
2012-18919,20,20
2014-02666,19,17
2014-13787,18,18
2012-01211,19,12
2014-72191,19,19
2011-97692,21,15
2012-55865,21,18
2014-20768,19,16
2014-70258,18,18
2014-56194,18,18
2012-03337,18,15
2010-24900,21,16
2013-36587,18,15
2011-62140,18,6
2014-08190,20,20
2012-52499,17,15
2011-49018,19,13
2011-22322,18,17
2011-37142,19,0
2014-64386,19,19
2014-09240,18,19
2014-09232,18,18
2014-31859,19,19
2012-19686,18,18
2012-18311,21,19
2014-98702,20,20
2008-07554,19,15
2012-52836,18,15
2011-16815,19,8
2014-14176,18,18
2012-11613,18,15
2013-69494,18,15
2013-07476,21,20
2012-02085,21,20
2012-19046,19,19
2012-07925,19,15
2013-54793,21,21
2012-45671,18,18
2012-25661,18,15
2013-25493,20,19
2010-53808,18,18
2008-56365,21,10
2011-11710,19,19
2011-00428,18,18
2012-08059,21,21
2013-04704,18,18
2013-10339,18,18
2014-15622,19,19
2011-32504,18,3
2008-47022,19,6
2011-16505,20,20
2013-43486,18,18
2013-68206,18,18
2014-29966,18,17
2014-05742,18,18
2011-18408,21,15
2012-34842,20,19
2014-62968,19,19
2010-42885,21,19
2008-09638,18,0
2010-29658,19,17
2012-59981,21,7
2013-06311,19,17
2012-25642,19,22
2014-24476,18,18
2013-56969,21,21
2014-35300,20,20
2013-30384,18,12
2014-71864,18,18
2007-62402,20,22
2014-71955,21,21
2014-41213,17,17
2011-97456,21,0
2012-19200,19,16
2014-72503,19,19
2014-09902,18,18
2014-09664,19,19
2012-29867,18,18
2014-71956,19,18
2013-00591,21,21
2008-51483,20,8
2012-07339,19,17
2014-45811,20,20
2014-57075,17,15
2011-11824,18,12
2012-38917,21,18
2009-27001,18,18
2012-35905,20,20
2012-07605,18,9
2012-02457,21,19
2011-48822,18,3
2012-97896,18,15
2011-15723,19,12
2014-78593,19,17
2013-98287,21,18
2014-71631,21,21
2011-28139,18,3
2012-04566,21,20
2014-63167,17,17
2011-05106,12,11
2013-22992,18,18
2012-13164,21,12
2013-06739,21,19
2013-47052,20,20
2014-77811,19,17
2013-60503,18,18
2013-52045,20,19
2012-54278,20,12
2010-61060,19,6
2012-19616,19,17
2012-37796,18,17
2014-62692,18,18
2008-36915,21,15
2013-31794,20,20
2012-45048,18,18
2013-00260,18,18
2013-67725,21,18
2014-15664,20,20
2011-43476,20,7
2013-18601,18,18
2013-08840,21,21
2013-98289,18,18
2012-37620,18,18
2012-63098,18,12
2013-60337,18,18
2014-11780,18,15
2014-26904,20,20
2013-56437,18,18
2009-47765,20,8
2014-84036,18,18
2014-39386,20,20
2014-26745,17,17
2014-28520,20,19
2013-07207,21,21
2011-59312,21,20
2014-53590,19,19
2014-43147,18,18
2014-78551,18,18
2014-73343,20,20
2013-06821,18,18
2014-71271,19,17
2012-44284,18,13
2014-48575,19,18
2011-63080,21,0
2012-97799,15,6
2014-24161,18,18
2009-60894,19,0
2013-40828,20,18
2010-02050,18,18
2014-29005,19,19
2013-07708,23,23
2013-18370,18,18
2010-26030,19,8
2014-73888,18,18
2014-33131,19,19
2014-77808,17,17
2011-22159,18,12
2013-20759,18,12
2013-51763,18,12
2013-45523,18,18
2013-57557,19,17
2013-20028,20,20
2010-21373,21,21
2011-52531,19,19
2013-75794,18,18
2014-08144,18,18
2014-27417,17,16
2013-11045,21,21
2014-12929,18,18
2013-06973,18,18
2011-43172,19,19
2012-76362,18,18
2012-07975,21,20
2014-35219,18,18
2012-30483,21,16
2014-71572,20,20
2014-43787,19,19
2012-00556,18,18
2014-51064,19,19
2014-98731,18,18
2010-11190,16,3
2014-33132,18,16
2011-47171,21,15
2012-66257,23,10
2011-31689,19,18
2009-05230,19,7
2014-08160,20,20
2014-74330,17,17
2007-28093,18,13
2012-39394,20,18
2014-61730,19,19
2013-00535,17,17
2012-48614,21,19
2014-65698,19,19
2013-57117,18,18
2012-13487,20,20
2014-62858,18,18
2014-26832,18,18
2014-09128,20,20
2009-46618,20,19
2014-50039,18,18
2012-08904,20,20
2014-09512,20,20
2012-30312,20,18
2011-36456,20,18
2012-53709,19,19
2012-97800,21,21
2014-36638,18,18
2013-08208,21,9
2010-01600,18,18
2011-22452,18,0
2012-98181,23,22
2013-50069,21,21
2013-55022,18,17
2013-58096,20,19
2010-03585,18,12
2010-52789,21,21
2013-38976,17,17
2010-42125,18,18
2012-55490,15,6
2011-47260,19,6
2014-00129,18,16
2013-24664,21,21
2011-15350,19,7
2012-38615,18,15
2014-71940,20,20
2013-06916,18,18
2011-27282,18,15
2011-64634,19,0
2011-45829,16,0
2014-09287,19,19
2014-60209,19,19
2013-26858,20,17
2011-25026,20,9
2011-31255,17,3
2013-16583,23,22
2013-15666,23,23
2013-72431,19,17
2010-29661,21,17
2011-09015,19,10
2014-20666,21,21
2012-26493,18,18
2014-09236,18,18
2014-15663,20,20
2014-50782,19,19
2011-48658,18,15
2011-62104,20,8
2007-65732,21,9
2013-53755,21,21
2011-35509,18,6
2012-53234,19,18
2012-43877,17,15
2012-59983,17,8
2009-05810,19,0
2013-43488,21,15
2011-00541,17,15
2012-49724,19,18
2013-43768,21,21
2011-09262,18,3
2014-76891,19,17
2012-20624,21,16
2013-05278,18,12
2012-00885,18,6
2013-22972,18,15
2013-52412,21,21
2014-23167,18,18
2009-30461,18,9
2014-74093,18,18
2014-71813,17,17
2008-01306,19,10
2013-72450,17,17
2011-25427,12,7
2012-37797,18,13
2012-15676,19,17
2012-19049,19,19
2013-09755,18,18
2012-19643,18,18
2012-33139,18,16
2009-07858,18,9
2009-96704,19,17
2012-38629,21,0
2007-16971,18,6
2011-35914,20,13
2013-98291,18,18
2010-43472,21,20
2013-07834,21,20
2014-48596,18,18
2014-24541,20,20
2014-09371,18,18
2013-33406,20,20
2014-05993,19,19
2014-42340,18,18
2014-72715,20,19
2010-11408,21,15
2013-07820,20,20
2011-46337,21,0
2014-20263,20,20
2014-19253,18,18
2013-67109,21,21
2013-39690,17,17
2014-08830,19,19
2012-17741,18,18
2013-12205,18,18
2014-62921,18,18
2014-31213,18,18
2012-68749,19,15
2010-96898,21,21
2012-97898,21,18
2014-08776,20,20
2014-71814,18,18
2014-32152,20,20
2014-77622,17,17
2013-09078,18,15
2014-40122,19,19
2014-53598,21,21
2013-98294,18,18
2014-21212,21,20
2014-72462,20,20
2013-28711,21,21
2013-09978,21,21
2014-80589,18,18
2010-42748,21,11
2014-05743,18,18
2014-40040,18,18
2012-18495,20,20
2013-65077,21,21
2014-49014,17,15
2011-08763,18,9
2010-19884,22,20
2012-01158,19,12
2009-19479,18,6
2014-08988,19,19
2011-21002,16,0
2013-54549,18,18
2014-57382,19,18
2013-68136,20,18
2012-21307,21,21
2010-22030,18,3
2012-71742,20,20
2013-32409,20,18
2014-71700,18,18
2013-48117,23,23
2013-08162,21,21
2014-70147,19,18
2013-98203,18,10
2014-71780,19,17
2013-25633,20,11
2014-56931,17,17
2011-45393,21,19
2013-28175,21,21
2013-08534,19,18
2005-50429,20,9
2013-52517,21,18
2014-02452,18,15
2011-23816,19,18
2013-36832,18,18
2009-03346,21,17
2011-22315,18,16
2014-08943,18,18
2012-32916,23,18
2012-58160,21,21
2014-79853,19,19
2010-30824,18,3
2013-18371,23,23
2014-30474,17,17
2013-11100,18,18
2008-63955,19,0
2012-55128,21,21
2012-97899,20,17
2013-09756,18,15
2014-62997,19,18
2012-28129,19,16
2014-07940,18,16
2009-47540,18,3
2012-20584,21,16
2013-12868,18,18
2012-40760,20,19
2011-53333,19,13
2012-18763,23,13
2009-18471,21,13
2014-65244,17,17
2013-68137,18,18
2011-17984,21,19
2014-07417,21,21
2014-71624,21,21
2012-02668,19,19
2007-59615,21,12
2010-43577,19,8
2014-08371,18,18
2013-48616,21,21
2014-06687,18,18
2010-45321,19,12
2013-08690,21,18
2012-02669,18,13
2013-56973,18,17
2013-01453,18,18
2013-50553,18,15
2012-15382,21,15
2009-16303,17,15
2014-03933,19,19
2012-37631,18,18
2008-37388,19,1
2012-35042,19,18
2011-33255,18,6
2012-11626,18,18
2013-48037,21,18
2014-45854,18,18
2012-30751,18,11
2013-21546,18,18
2010-58384,21,21
2012-48941,21,15
2012-14959,18,12
2012-11169,19,17
2010-20849,19,9
2014-09931,21,20
2014-04496,20,18
2013-48235,18,18
2011-06187,21,3
2010-02739,17,15
2013-39686,20,20
2014-28210,18,18
2012-35545,20,20
2013-26906,18,17
2014-83404,19,19
2012-19372,18,18
2011-29301,19,12
2013-74156,21,21
2011-62462,18,15
2009-03700,15,3
2014-35056,19,19
2012-59818,21,17
2014-62407,19,17
2012-37919,21,19
2014-08921,21,20
2011-46662,19,17
2014-72463,20,20
2014-99165,18,16
2012-47737,19,18
2013-06994,18,15
2014-09396,19,18
2013-11094,18,12
2012-37818,18,9
2014-60950,20,17
2011-03482,21,10
2013-08514,18,15
2014-41659,20,20
2013-50226,21,18
2011-34041,18,6
2014-72738,18,18
2012-55130,19,17
2012-44074,18,9
2012-28979,19,12
2013-09348,18,18
2012-56489,17,15
2012-37479,18,18
2013-98295,18,18
2014-05817,17,17
2012-98150,18,15
2012-07470,21,20
2013-60071,21,21
2012-34913,19,19
2011-64846,21,0
2013-16040,18,18
2010-51803,18,12
2012-76432,20,19
2013-27808,18,15
2014-08284,19,19
2012-19559,19,16
2014-28525,20,19
2012-07410,19,16
2014-27257,18,18
2014-64390,19,18
2014-28355,20,20
2014-09368,18,18
2012-45498,18,13
2014-71430,21,19
2013-61890,21,21
2012-02595,19,19
2013-51061,18,18
2009-01169,21,6
2010-34782,21,14
2012-54227,18,13
2006-40913,19,3
2012-15384,21,15
2012-00629,23,12
2014-98845,16,16
2014-27601,21,21
2012-16901,18,18
2012-19484,18,3
2012-17637,21,18
2011-37242,12,5
2013-61908,19,17
2013-68120,18,18
2014-72642,20,19
2009-17252,20,8
2014-08049,18,18
2012-37737,21,20
2013-46403,18,18
2011-22181,20,11
2011-97482,18,18
2012-19044,12,12
2011-62422,16,0
2013-71177,21,18
2006-95831,19,3
2011-20607,16,6
2009-26281,17,6
2014-03433,17,17
2011-97653,18,12
2013-98626,20,20
2014-26749,18,18
2012-10411,19,19
2014-98797,20,20
2012-17186,21,7
2013-03637,18,18
2011-58334,19,8
2012-06436,18,7
2014-22046,17,17
2009-24636,16,10
2012-18438,18,13
2014-28349,19,19
2010-05967,19,15
2012-35931,19,17
2013-26909,18,18
2014-98788,19,19
2012-56001,18,15
2014-28356,19,19
2014-02626,19,19
2011-65921,20,19
2013-74769,18,15
2013-10319,21,19
2013-00289,21,21
2013-43829,20,20
2011-58080,16,0
2011-04251,21,21
2012-67484,19,19
2010-96900,21,21
2012-70817,20,17
2012-16654,21,16
2011-37794,21,12
2014-25040,18,18
2011-01668,17,15
2014-23022,18,18
2013-98298,21,19
2012-60729,17,12
2010-43478,21,12
2014-64391,19,18
2013-41024,19,17
2011-48430,19,11
2014-31245,20,20
2012-46252,18,12
2013-09961,18,18
2013-49290,20,20
2012-49469,19,17
2012-56452,18,16
2012-25860,21,12
2014-22420,17,17
2012-38469,21,18
2012-06360,18,13
2011-21875,21,15
2013-29170,21,21
2012-00119,19,17
2014-43225,18,18
2014-25593,17,17
2013-09757,18,15
2012-20202,18,16
2012-66367,18,15
2011-05942,18,8
2012-17964,21,0
2006-39690,21,14
2012-29797,17,15
2012-62187,18,15
2014-70872,17,17
2012-47898,21,21
2012-66478,20,14
2013-03504,18,18
2010-06807,19,13
2012-37819,19,17
2014-48939,19,19
2010-19887,16,12
2013-40241,18,15
2014-48593,19,19
2014-08998,19,19
2008-09815,16,0
2010-67519,18,9
2014-21294,18,15
2012-00202,18,15
2014-25856,21,20
2012-25167,18,6
2014-43410,18,18
2012-52621,19,18
2010-64483,19,6
2014-24892,20,20
2006-26829,19,18
2012-31032,18,6
2013-55550,19,19
2006-95837,18,6
2011-01776,12,11
2010-49593,18,6
2010-43276,20,20
2014-72080,19,18
2013-45524,21,21
2012-52267,15,6
2014-98922,18,0
2014-09823,18,18
2014-56209,19,19
2013-03599,21,21
2009-19784,21,20
2011-22060,19,12
2010-56771,19,0
2012-00522,15,3
2013-64999,18,18
2013-29732,21,21
2012-13911,15,3
2013-22234,18,15
2014-32737,20,20
2014-33540,19,19
2014-71925,18,16
2010-03588,19,0
2012-19274,18,12
2014-83960,19,19
2013-68487,18,15
2011-37833,19,9
2013-05396,17,17
2013-09834,19,0
2012-14299,21,18
2014-22130,20,20
2014-06605,17,17
2014-72413,21,21
2014-35387,18,18
2013-11349,17,17
2014-01544,19,19
2011-21469,19,18
2014-09276,20,20
2012-35009,20,11
2012-55782,21,4
2014-09616,17,14
2011-37969,16,0
2014-39826,19,19
2014-71207,20,20
2014-29469,18,18
2011-97358,18,18
2013-09748,21,21
2012-19117,19,19
2014-09433,18,18
2012-17912,18,9
2011-62407,18,8
2011-21769,19,7
2010-42663,19,1
2011-97514,19,7
2014-72681,19,19
2012-31215,20,17
2012-41464,19,11
2011-28852,20,15
2013-71178,21,21
2011-43316,15,0
2012-97902,19,12
2014-71865,18,18
2011-46367,21,21
2012-65295,21,15
2012-18671,18,15
2014-44196,17,16
2012-42193,20,18
2011-23729,18,9
2012-18150,21,6
2012-26592,21,20
2007-16322,21,14
2014-81812,21,21
2013-18464,18,18
2010-10672,20,20
2011-62565,20,12
2014-19250,20,19
2011-97490,18,10
2013-54564,20,18
2013-56438,21,19
2013-06537,18,18
2014-76939,19,19
2014-72643,18,18
2014-22070,18,18
2014-13779,18,18
2009-49229,19,18
2014-72494,21,19
2014-02342,18,18
2010-24697,17,15
2012-38023,19,17
2014-25321,18,18
2013-70853,18,18
2013-68209,18,18
2013-26871,19,17
2011-54422,20,12
2014-48189,18,18
2013-27084,21,21
2011-34847,21,15
2014-41058,19,19
2013-11008,18,12
2011-47780,19,16
2014-10179,19,19
2012-37487,21,21
2014-04675,17,17
2012-65559,21,19
2013-63083,18,18
2014-41282,17,17
2013-08114,18,18
2011-64232,24,23
2012-37337,18,15
2013-22858,21,21
2014-67637,19,19
2014-60869,18,18
2010-52686,21,16
2012-57177,18,13
